"apUsernames","apReviewer_Date","apReviewer_Content","apRating"
"Howlin Wolf","12 April 2002","... because with ""American Psycho"", Mary Harron and her screen writing partner have delivered the most faithful adaptation it would be possible to release without getting the film banned or revolting audiences so much that no one comes to see it. It would be IMPOSSIBLE to take some of the most extreme sequences from the book and commit them to film. What the movie instead does is to give us an insight into the stunningly fragile and insecure mind of Patrick Bateman, and to speculate whether his unstable nature would REALLY lead him to perpetrate vile acts, or whether he just fantasises about doing so.I think it matters little in the context of this film whether Bateman's exploits are actually based in reality, because whether they are or they aren't, Bateman is still left in the grip of paranoia, brought on by the shallowness of the society that is around him. Bateman is less of a 'psycho' than a vessel for all the selfish evils of society to corrupt, and a sensible audience is more likely to be left reeling at how he has been turned into a 'robot', than by the discreet amounts of gore that do feature in the movie.""American Psycho"" is fascinating to watch because Bateman is such a complex character. We feel revulsion at his violent tendencies, amused by his complete superficiality, and pity at his crumbling sanity. In order to evoke such diverse feelings from one performance, we need a superb actor. Bale's performance is right on the money. Never does HIS mask slip as does that of Patrick Bateman. He is completely believable in all his emotions.There is NOTHING in the film that is not true to the book (although there are bits in the book that are not true to the film) Both the reading and watching experiences are valuable and rewarding ones, but what they share with each other is that while they're exploring somebody else's mental state, they are also probing that of their audience. Can we see the funny side in the fact that these murders were committed for very trivial reasons?Can we ridicule someone with the knowledge that he is also a fantastically dangerous person? The film and book are constantly pushing boundaries, and if you don't fight that, but instead surrender to it, they will take you to many interesting places. Don't be afraid to give in to your emotions and laugh when you see something funny, because the movie shows us what emotional repression has done to someone like Patrick.Kudos to Mary Harron for tackling a seriously difficult project and turning it into one of the cleverest movies of recent years. ""American Psycho"" is anything you want it to be; glossy and superficial, or deep and meaningful. The question is: Do you look at things from the same narrow angle as Patrick Bateman does? If so, then the movie is not for you...","
            8/10
            "
"Movie-12","7 October 2001","AMERICAN PSYCHO / (2000) **** (out of four)Patrick Bateman: I think my mask of sanity is about to slip. ---""American Psycho""	The average filmmaker would turn ""American Psycho"" into an exploitative slasher flick, but Mary Harron and Guinevere Turner have adapted the controversial novel by Bret Easton Ellis into something unique and intriguing, a brilliant, thought-provoking social commentary thriller.Readers criticized the decade old novel because of its graphic violence, but that doesn't cause Turner and Harron to give into the controversial material. I have never read the book, but after watching ""American Psycho,"" I intend to. It's a scathing, rare film that probes our imagination and beliefs while experimenting with true psychological terror. It often makes startling switches between scenes of dark comedy and sequences that portray unsettling, graphic images. Director Mary Harron says in the film's press notes that she wanted all but one of the violent sequences to be disturbing. The amount of blood and violence here is certainly extreme, but considering the nature of the beast, not overly abundant. The film calculates every single act of violence, therefore, the victims are seldom random characters, but people we care about, which is why the scenes are so timely and effective.
The best description of the film's main character, Patrick Bateman (Christian Bale) comes from Christopher Lehmann-Houpt of The New York Times. ""Patrick Bateman lives in a morally flat world in which clothes have more value than skin, objects are worth more than bones, and the human soul is something to be sought with knives and hatchets and drills.""
Both leading actors in ""American Psycho"" have previously portrayed Jesus Christ, Willem Dafoe in ""The Last Temptation of Christ,"" and Christian Bale in ""Mary, Mother of Jesus."" Talk about versatility. It's probably not a coincidence that Christian Bale was the initial actor of preference for Mary Harron. If an actor can display such a fascinating performance as Jesus Christ, he's more than capable of playing a psychotic serial killer because he already knows the other side of the moral spectrum.
Through the strong central character, ""American Psycho"" suggests several themes about the 1980's, including society's obsession with outer perfection, conformity, the rising threshold of material fetishism, and the strong desire of stimulation by drugs, sex, money, and power. Patrick Bateman isn't given a back story, however, and the movie doesn't offer his personal history. Bateman has no inside emotions. He reacts by inner impulse alone. He seeks gratification through the sex and drugs, but also by engaging in the homicidal behavior.    ""You could describe American Psycho' as a film about perfect surfaces and what might be lurking beneath,"" says Mary Harron. ""Inside, Bateman might want it all to stop, but for him it's a compulsion. He's like the serial killer in M, who says: You have a choice, but I can't help what I am.'""""American Psycho"" initially earned an NC-17 rating, not because of the violence but because of the graphic sexual content. The director's cut is available on videocassette and DVD, which shows the film's three-way sex scene in more disturbing, yet innovative, detail. That's a good thing, if you're not a sensitive viewer, because this film is all about details. The production design, the cinematography, the visual effects, the engaging soundtrack, the quirks each actor masterfully incorporates with their character, and every other aspect of the film is flush in detail.
This is a movie that requires more than one viewing, to experience the surreal visual arena, and to justify what we think actually happened. Perplexingly, the film's conclusion puts the events into question. Did Bateman really kill these people, or did he just really want to? The answers don't come easy, but this is a movie that begs us to look closer","
            10/10
            "
"claudio_carvalho","14 September 2017","In New York, the narcissist investment banker Patrick Bateman (Christian Bale) works in the bank of his fiancée's father and usually has dinner with his shallow coworkers at fashionable and expensive restaurants. Bateman worships notorious serial-killers, such as Ed Gein or Ted Bundy, and he is a psychopath. When his co-worker Paul Allen (Jared Leto) shows a business card of better quality than his, Bateman plots to kill him using the name of another colleague. He murders Paul with an ax and tapes a message in his answering machine telling that Paul is travelling to London. Soon the private detective Donald Kimball (Willem Dafoe) investigates Paul's disappearance and interviews Bateman. Then Bateman hires two prostitutes to spend the night with him doing kinky sex and he tortures the women. Bateman tries to kill a homosexual co-worker; murders a model; and tries to kill his own secretary. Who will stop his crime spree?""American Psycho"" is an ambiguous, dark and dramatic thriller about a sick yuppie that cannot control his death wish. The viewer never knows whether Patrick Bateman really kills the persons or is delusional with a perverted mind. The black humor and the mystery of the last scenes creates the doubt in the viewer. My vote is seven.Title (Beazil): ""Psicopata Americano"" (""American Psycho"")","
            7/10
            "
"perica-43151","27 June 2018","This movie is a masterpiece, and it is so underrated. So many quotable moments, true perfect cult piece. Violence is measured, much milder than in the book, which is improved on. It shows the true side of Wall Street morality, of all the little Eichmanns that lived and still live in Manhattan. Dark comedy genius, with classic shiny ax scene perfectly in tune with ""Hip to be Square"" music, that Weird Al and Huey Lewis parodied in perfect meta homage. This movie works on so many levels, and although it was hated by the corporate elite and their paid hypocrite critics, time has shown that this movie is going to last. This is Wolf of Wall Street on steroids, wrapped in metaphysical, if murderous, clothing.","
            10/10
            "
"fciocca","18 September 2021","Due to the recent rise of popularity on the internet of ""American Psycho"", I decided to finally watch it, and I was pleasantly surprised. I was not expecting such a deep and realistic depiction of our modern society. For sure this movie was ahead of its time, and it took years before getting noticed.First of all I had to approach this film with the right mentality: I needed to go beyond what I was watching on screen and understand the message underneath all this apparent nonsensical and over the top violence. Bateman is the pure representation of a person that, despite being already successful and lucky, wants more. As he says he wants ""to fit in"" in a world where clearly does not belong. He started to feel envy and hate for colleagues that achieved more than him. This will quickly escalate in a burst of violence that will cause several victims. This is exactly the metaphor of what is happening nowadays with people chasing success, never satisfied by their goals. The killings are just an allegory: more and more people, estraniate themselves from reality, and they become mad, they are not able to separate what is real and concrete, from what is pure delusion. This is exactly what happens to Patrick Bateman, in his attempt to reach perfection. This kind of destructive mentality has so many bad effects on the character, that in the end he becomes crazy and starts to merge reality with ideas in his head. He feels bad about the whole situation, and I think that the detective represents the guilt of feeling this way towards other people.Christian Bale as always delivered an amazing and compelling interpretation. He managed to depict the fall into madness of Bateman. The guy was clearly dedicated to the role and he always has control over the scene. He managed to be creepy and funny at the same time. He gave life to a very interesting character that deserves to be studied deeply. Happy to see Willem Defoe, even if it was just for a few scenes. The cast is composed of good actors such as Matt Ross, Jared Leto and Bill Sage, who had a pretty decent acting career, with a handful of successful movies and TV shows in their curriculum.It is not an easy watch. There are in fact many graphic scenes, nothing too strong in my opinion, but some people may feel uncomfortable. Some dialogues would never happen if this movie was made today. There is misogyny, hate speech towards other people and animal violence. So, approach with discretion. I wish more commercial movies would push boundaries in this way nowadays and be shocking. Using violence in a smart way, and not just for the sake of being gruesome.","
            8/10
            "
"kosmasp","13 September 2010","While I haven't read the book and it clearly is playing in another era, than it was filmed, this still has quite something to say about our society. While I'm pretty sure this was also in the book, the really weak follow-up to this, showed us that even with a great source material, you don't have a guarantee that the movie will be great. In this case and with Christian Bale on great form (maybe only his part in the Mechanists overshadows this performance to date, end of 2010), with a very quirky and darkly funny script.While everyone is talking about the ending, this is exactly what the filmmaker wanted us to do. And I love it, because it adds another layer/level to the whole movie. Which is just great. And in case you haven't read the book either, this is not for the faint hearted. Be advised that this does deliberately offend and provoke. You may not like what you see. Actually it would be a big surprise if you really liked the characters at all. But that's the point. Which could also work as a downfall for the movie. But it is handled with great care by the director.Edit: rewateched this and have to admit, this still is as amazing as I remembered it. And while I understand that some may think I am rating too nice or too high, I think I should have given this the full points from the start. So influential, so good. Even if some things may have been a lucky accident - pun intended. Like the one sided face ""paint"" after a violent scene. Interesting that they had to cut some language and the scene that contained almost all of the nudity - but no problem when it came to the violence. To be fair, the book is apparently even ""worse"" or more descriptive when it comes to the things that may offend you.Whatever you may feel about the movie - you can't deny its structure, it cultural and social commentary and that pitch perfect performance by Christian Bale. And he gives you some eye candy too - if you are into that of course. Apparently something you can thank the director for - she gave him that advice based on the character in the book.","
            10/10
            "
"BA_Harrison","6 July 2010","Patrick Bateman (Christian Bale) is a wealthy, good-looking Wall Street businessman with his own office, a pretty PA (Chloë Sevigny), an attractive fiancé (Reese Witherspoon), a desirable Manhattan apartment, and a fine collection of sharp implements and power tools, perfect for hacking up hookers and ridding himself of pesky professional competition.American Psycho, based on the controversial cult novel by Bret Easton Ellis, is a razor-sharp satire of the yuppie lifestyle that will forever be associated with the late '80s, an era when success was often measured by how much money you earned, who you knew, what suit you wore, and which restaurants you could get reservations at.Bale's narcissistic Bateman epitomises the yuppie stereotype—self-obsessed, materialistic, power hungry, and predatory, his life is dedicated to feeling superior to all those around him, no doubt because that, secretly, he knows that he is devoid of genuine worth: his position in the company is shared by several indentikit employees (so alike that there are frequent cases of mistaken identity); his fiancé is having an affair (but then so is he); and the only person who truly likes him (apart from himself) is his secretary, who he stupidly deems unworthy of his magnificence. Deep down, he's a very insecure and confused individual.To compensate for his shallow existence, Bateman extends his lack of empathy and ruthlessness much further than most: he not only humiliates and dominates all around him, both at work and at play, but he also kills!Both the book and film have been accused of being overly violent and misogynistic, and it is true that many scenes are extremely disturbing and very gory, with extreme brutality frequently dished out casually by an emotionally disconnected Bateman; but not only is American Psycho a very unsettling affair, it is also a very funny one (particularly for those with an extremely dark sense of humour), with hilarious satirical displays of oneupmanship between the high-rolling yuppies, amusing deadpan critiques of popular music as Bateman casually prepares for more bloody mayhem, and towards the end, several scenes of sheer unbridled lunacy (try keeping a straight face as Bateman attempts to feed a cat to an ATM).In the film's closing chaotic moments, events become very confusing, with a crazed Bateman finally revealing all to his lawyer over the phone; the very next day, however, we learn that the lawyer has not only taken Bateman's confession to be a sick joke, but also seems to believe him to be someone else entirely. At face value, this all seems terribly unlikely, but it does adhere nicely to the reoccurring theme of lack of individuality; it is also a deliberate ploy by director Mary Harron to allow her audience to come to their own conclusions about Bateman's predicament. Is he free to carry on killing or has all that we have witnessed only occurred in Bateman's unhinged mind? Hell, by the closing credits, we aren't even sure if Bateman is actually who he thinks he is.Usually, I don't like ambiguous endings that much, but in such a demented, twisted, schizophrenic movie, it seems like the only satisfactory way to finish.","
            9/10
            "
"TBJCSKCNRRQTreviews","6 February 2004","This movie is very strange. It's about a stock broker who's a serial killer at night. It's also about the social life of stock brokers, in the late 80's. The main character, Patrick Bateman, constantly excuses himself out of any situation that he doesn't completely control, and is, as all the other stock brokers in the movie, incredibly vain. He's cold and possesses no emotions at all. At the end of the movie, there is a weird twist, that turns everything that has happened up to that point around; apparently, none of it actually happened, and was all a part of Bateman's overactive psychotic imagination. On the other hand, maybe it isn't. There are a lot of different theories, but it all boils down to two possibilities; either everything happened, and no one cares, everyone is indifferent to the fact that the main character has killed an unbelievable amount of people, or none of it happened, but was just something that Bateman imagined, thought about, fantasized about. I can't decide which to believe, as there is evidence to support both theories. The movie is very weird; I've seen it four times, and I still don't really understand it. Whether it's because I'm too ignorant to understand it, or the fault lies on the director, for making it too strange, I don't know. 6/10.","
            6/10
            "
"rogerebertsclone","15 December 2002","Without a doubt the most underrated movie of the past decade, ""American Psycho"" is a piece of American cinema that shouldn't be missed by anyone, regardless if they do not like the violence (which does have its reasons).
Christian Bale gives a flawless performance as the troubled, deep down wannabe Yuppie who has psychotic, violent impulses. This is true acting here, folks. Not phoned in Tom Crooze acting. Some people object to Patrick Bateman narrating the movie [always a weak sign in a movie] and not letting us figure his motives out on our own, but if you watch closely, Bale shows us Bateman's vulnerablity through every minute of every day of his life. The movie is at times hysterical, as his character uses dominant Alpha Monkey behavior around the opposite sex. But again, it's all for good reason.
If not for Bale's performance, see it for the knife twisting satire of the '80's -- from the clothes, to the hairdos, to the music [I'll never be able to hear Phil Collins in the same way again!] The production value is rich in '80's nostalgia from the ""Black and White"" set designs to the enormous cellphones [how could we forget those?].This is a movie that major studios are too afraid to touch. This is film making. Remember film making? When films took you on a ride in someone's life and you would walk away with a piece of their mind? American Psycho doesn't have any real morals or answers, but it shows the deep psychological insecurities some men suffer everyday. Oh yeah, and it was directed by a woman, so all you feminists shut up!","
            10/10
            "
"darth_sidious","22 October 2001","By the end, I didn't know what to make of it, but now I understand the film much better. This film is must viewing, it brings out the truth about today's world - Nothing but material values matter, we live empty lives, we think empty thoughts, we are empty people, life is boring.Christian Bale is awesome, quality acting! Willem Dafoe was underused, I didn't think the support cast had the same quality material as Bale.The photography is stylish, very 80s gloss!The direction is terrific, wonderful camera work.Overall, see it, it's satire, black comedy, social commentary and more!","
            9/10
            "
"bevo-13678","1 April 2020","I like the bit where he dropped a chainsaw down the stairs on the woman.","
            3/10
            "
"albertodr07","6 October 2008","Now it all makes sense. Christian Bale was born to play horror characters. I couldn't understand why I was so , so, afraid of him even in films like ""Velvet Goldmine"" He is a poster boy for putrid souls in elegant wrapping. In ""American Psycho"" - a film that deserves much more attention than it's got - he is absolutely terrific. Totally believable. I could sense his delight in playing a monster of this kind. Interestingly enough this manicured monster seems to be asking for sympathy, imagine the nerve! But Christian Bale succeeds in showing us a face we (I) hadn't quite seen before and yet we (I) accept without question. He should have gotten an Oscar nomination but, fortunately, he didn't.","
            10/10
            "
