"bttfrUsernames","bttfrReviewer_Date","bttfrReviewer_Content","bttfrRating"
"jace_the_film_guy","9 July 2021","What a classic! Marty McFly and Doc Brown are two of the best characters in cinematic history. The plot was fun, captivating, emotional and well driven. The film takes you to another time in a way other movies have not been able to do. Loved it!","
            8/10
            "
"Animany94","23 June 2019","Back To The Future has not become a classic without reason. It's an engaging time travel adventure with high entertainment value without being gimmicky.The intereaction between the 1985 Marty McFly and the '55 environment is so well written with lots of wit and heart that you can't help guessing what will happen next and what consequences could happen. And the writers knew that, so they put in some dillemmas and suspenseful moments which rids the movie from any dull moments and keeps the audience's attention throughout.The two central roles of Marty McFly and Dr. Emmett Brown played by Michael J. Fox and Christopher Lloyd respectively are so good! Memorable in every way even if their characterizations sound generic at first, they just play them out so well you can't dislike them. Seeing Marty's family and acquaintances in the past is also a whole lot of fun.Good music, a well written script, great performances, good pacing and an instant classic is secured to delight everyone.","
            10/10
            "
"jakeht73","25 June 2022","As I was a young kid grown up in the 80s. We start to see technology advance. And was hope and dream travel in the pass or future that can be possible. And this film give us a dream it's would be like to do so. Great ever classic film I I keep coming back and watch again and again, I lost count of how many time I had watch it.","
            10/10
            "
"jamesjustice-92","12 December 2020","What is there to say about this movie that hasn't been said already? It's a masterpiece, absolute and total masterpiece, and even having watched it a hundredth time I will say the same thing. It's been 35 years since its release and about 20 years since I first saw it on the TV and I am still amazed how good and fresh it looks, especially on the big screen. Incredible score by Alan Silvestri, near perfect performances by Michael J., Christopher L. and so many others, fantastic script by Bobs and outstanding direction by Bobby Z., immortal ""The power of love"" by Huey ""darn loud"" Lewis & the News and the whole soundtrack - I love everything about Back to the Future. It's my favorite movie of all times and despite, I admit it, being a little silly and naïve it pulls just about right amount of strings in my heart and keeps me on the edge of the seat until the end every. single. time. Once you've fallen in love with Marty, Doc, Jennifer, Biff, Lorraine, George and all the rest of them outstanding characters you will not be able to live your life the way you used to before that movie came into it. Trust me. You may not be needing any roads in the future you're heading to but this movie you have to have along with you.","
            9/10
            "
"bgar-80932","3 March 2020","I watched this movie this year for the first time so it held no nostalgia for me. All I can really say is it's good cheesy 80s fun.","
            10/10
            "
"bretttaylor-04022","13 September 2022","So classic.Great comedy.Christopher Lloyd as Doc Brown is one of my all time favourite characters. Everything he does is amazing. He just lights up the screen with his wacky charisma.The time travel explanations are so baffling they start to confuse Doc as he explains them.Marty McFly (Michael J. Fox) is a bit of a slacker but his family is full of losers. His Dad is bullied by the neighbour Biff and has been since school.McFly hangs out with a crazy scientist and is accidentally sent back to 1955 in a time machine Doc has made out of a car.He is fleeing some Libyan terrorists who Doc stole plutonium from, which is needed to power the flux capacitor,In 1955 McFly accidentally alters the moment his Mum starts to fall in love with his Dad and his Mum starts to fall in love with him and this could cause him never to be born.He gets the help of a younger Doc Brown to get back in time using a lighting strike he knows the exact time and date of because there is no plutonium but he also has to correct the mistakes he has made that could change the future and make his Dad fall in love with his Mum.The Clock scene which is paying tribute to Safety Last manages to top the scene it is based on.His Dad also stands up to the Bully which alters the present but makes everything better.One of the best films of the 80's and all time.","
            5/10
            "
"lisafordeay","23 October 2015","Re-editBack To The Future is a 1985 Sci fi adventure starring Michael J Fox,Christopher Lloyd,Lea Thompson and Crispin Clover. Directed by Robert Zemeckis,and produced by Steven Speilberg,the story is about a young teen named Marty McFly(Fox)who teams up with a Dr named Doc Brown(Lloyd) who happens to be a time traveller. So he invents this car called DeLeoran that can bring you back in time. So McFly ends up taking the DeLeoran and ends up in October 21st 1955 where he has to try and bring his parents (Glover and Thompson)back together again. But when McFly's mother ends up falling for McFly things get sorta complicated. So can McFly go back to his own time?Bottom line this was a feel good movie and I highly recommend it. The story is a tad bit silly,the music is great by Hewy Lewis and the acting was great. Keep an eye out for a very young Billy Zane as Match(Biff's best friend).Classic.","
            9/10
            "
"PIST-OFF","2 July 2002","If Sigmund Frued saw this movie he'd be foaming and frothing at the mouth about it's  latent theme of having your mom wanting you in a sexual way. Cokehead theories aside this is one of those movies that sums up the 80's quite nicely. Between Micheal J Fox and Huey Luis and the News on the soundtrack you can't get much more 80's. It's another movie like Ghostbusters that you watch as a kid, then see as an adult and notice alot of adult themed jokes you didn't even notice as jokes as a kid. ""I don't wanna mess with no reefer addicts"" That line never did make sense when I was ten.","
            9/10
            "
"rebeljenn","13 November 2005","This is the film that started it all. Back to the Future is an original film in which time travel meets comedy. The film is told well with plenty of jokes. One of the best things about it is that it makes science fiction look 'cool' and introduces that genre to a wider audience who previously thought that science fiction was all about geeks dressed up looking like Star Trek characters. There is a good blend of comedy and action, and the general public was able to appreciate it for the comedy and popular culture -- and for the 1950s jokes and characters that we can identify with. If you haven't seen it, this is a film that should not be missed. I am glad to see that it is still popular.","
            9/10
            "
"galileo3","8 June 2008","Back To The Future (1985)Top 3 - 1985One of the greatest sci-fi/action/adventure/fantasy/comedy films of all time. I have seen very few other films that have provided the sheer enjoyment that Back To the Future provides so effortlessly.The ultimate story: Using a time-machine, visiting famous times, seeing life when your parents were your age and causing so space-time continuum problems.Michael J Fox is superb as Marty McFly with equal if not greater praise to Christopher Lloyd for his fantastic interpretation of Dr. Emmett Brown, the mad scientist who made the De Lorean the car which is a time machine.With a little help from Eine!Verdict - An instant classic, bound to be loved for many, many years to come.8.5/10","
            8/10
            "
"wright-alex2","19 September 2020","What to say about Back to the Future? A trilogy that animated my childhood and continues to do so with as much panache and reverence as it did when I first laid eyes on the duo of Doc and Marty. A friendship that shouldn't exist, yet the chemistry that binds them is uniquely special and fluently conferrable on screen.Not a Sci-Fi person? No need to be - this is packed with action, emotion and intelligence. It feeds the curious and demanding brain with complex twists and turns, and characters overlaying each other in a vast time continuum.These films are clever, sinuous; they are peppered with flashbacks and parallelisms, thus keeping you entertained throughout. Expect great one-liners (""Where we're going, we don't need... roads"").It's undoubtedly the trilogy with the most re-watchability in existence, excepting, perhaps, the original Star Wars tri.BTTF contains all the key ingredients you want in a great film, from great characters to great storyline and brilliant music to accompany and set the tone each scene. It had me on tenterhooks throughout, and I am not an easygoing cinema critic.I can't, can't recommend it enough. After watching all three films, your life will forever be richer.","
            10/10
            "
"aheaven2005","19 August 2022","Back to the Future stays a true classic and holds up so well 37 years later. Fox is just incredible in the role. The story is solid and the whole execution almost flawless. And of course you have the music, the cinematography and all the other technical elements very well executed.","
            10/10
            "
"s2sufc","15 July 2019","This is an absolute timeless classic of a film, I've no idea how many times I've seen it but it will never get old. It was released over 30 years ago and has clearly stood the test of time. I have nothing bad to say, I can think of no flaws. The acting, music, background, casting, it's all perfect. Yet another masterpiece brought to you by Stephen Spielberg (has he ever made a bad film?!)","
            10/10
            "
"Bogmeister","12 March 2006","There aren't too many time travel movies around, mainly because ""The Time Machine,"" ""The Time Travelers"" and ""Time After Time"" films pretty much covered the subject. Then ""Star Trek"" used up the premise in its TV episodes and films, and there was even that ""Time Tunnel"" TV series in the mid-sixties. One option was to do such a movie with humor, pointing out the potentially absurd ramifications of traveling to your own past. So the main character of Marty McFly (Fox) ends up meeting his own parents when they were his age. Though this is a relatively tame comedy as far as teenage comedies of the eighties, there is the risky Oedipal element of Marty's own mother having the hots for him. This concept is then tossed aside near the end when, in a rather lame scene, his mom stops her advances because she suddenly feels like she's kissing her own brother. Disney should've went with this after all - it's possibly the least offensive picture of the decade and probably also explains its huge popularity - everyone could enjoy it.What elevates this above the common film are a few things: Glover's performance as Marty's father, both in younger & older incarnations, is deliriously eccentric; where everyone else is kind of in TV-movie mode, he's off in his own zone and hard to forget. There's an energy to the entire story thrust (from director Zemeckis), helped by Fox, who always seems anxious about something. The concept of time travel itself gets a clever redux here; we find out you can actually change reality in the present by your actions in the past - there's no mention of creating a parallel universe, for example. The ending is pretty strong, throwing in an extra whammy when we think things are over and everything is back to exactly the way it was. And it's very entertaining to watch Marty explore the fifties - we see through his eyes - the culture shock and making various connections between the older and new decades is a nice routine. There were also a couple of wildly funny moments involving Marty dressed up as an alien from outer space.","
            8/10
            "
"nicholls_les","10 March 2009","Hard to find fault with this film in any way. This is the only film I have watched in the Cinema where the audience broke out in spontaneous applause at it's conclusion. Michael J Fox was perfect for the part and all the cast and Christopher Lloyd is exceptional, creating one of those characters that you will always remember. The 2 sequels are both good but nothing matches this first film and the excitement it generates. My only small criticism was the Johnny B Goode scene where a supposed relative of Chuck Berry says to him on the phone 'I've found that new sound you were looking for' .... When will black music artists start getting credit for giving us all the great genres of music? OK I know it was tongue in cheek humour but it just annoys me. Rant over! It is still a 10/10 movie.","
            10/10
            "
"LebowskiT1000","23 February 2002","There isn't enough good things I can say about this film.  Robert Zemeckis is definitely one of the best directors out there.  The film has a great story line from start to finish and does a great job of keeping you interested in the characters.Usually movies that deal with time travel don't do a very good job of keeping it feasible (cause time travel is such a bizarre subject), but this movie has a quite feasible story (given that time travel is possible).The special effects are also great, even for today's standards, they're very good!  Well, I guess what I'm getting at is that if you haven't seen this movie yet then you've missed out on greatness.  Please go see this movie! Thank you,-Chris","
            10/10
            "
"alyssabond","9 June 2014","So I guess I'm not the first person to say this, lmao, but I love this movie! It's such a gem. It has a really sweet sense of humor, and romance, and adventure to it that you don't get in movies that much anymore. Well maybe that isn't totally fair, but you know what I mean.And for a Time Travel movie, it doesn't really mess up too badly in terms of continuity or paradoxes. The movie handles it all pretty much in stride. I can get kind of nitpicky about stuff, and I never felt betrayed or hornswaggled by the filmmakers on this one.I will always suggest this to friends, and if you haven't seen it then put it on your list!","
            10/10
            "
"RossRivero99","11 July 2014","Robert Zemeckis' Back to the Future is a very entertaining science fiction film of which is also pretty funny at times as well. The movie stars Michael J. Fox as Marty McFly a teenager who was sent 3 decades back into the past all the way from present day 1985 to early November 1955 in a vehicle that runs on plutonium that was invented by his friend Dr. Emmett Brown (played by Christopher Lloyd). But when he travels back in time and visits his mother's house at the time he was young he has a huge problem which is that his teenage mother is in love with him instead of his future father. Zemeckis really knows good visual effects, a film i consider the best science fiction movie from the 1980's sine executive producer Steven Spielberg's 1982 classic E.T. The Extra Terrestrial. Not only that this works as a science fiction classic, it also works as a comedic family adventure. This movie is a huge sci-fi entertainment for the whole family to see.","
            10/10
            "
"JamesIan2021","26 July 2015","Come on, Back to The Future isn't all that great. Yes it has its moments, courtesy of Christopher Lloyd's slightly crazy Doc, Michael J. Fox' wide eyed looks of confusion and some superb special effects but the pace falters, the humour runs dry one too many times and because of all the positive buzz, constant recommendations and reviews stating it to be one of the best films, and standing high in the IMDb top 250 I can't help but feel disappointed and underwhelmed. Robert Zemeckis is a good director, countless hit films especially Flight which is an incredible movie. But people hailing this as some of his finest work? No, seriously this is an average film at best.","
            8/10
            "
"Philipp_Flersheim","2 April 2022","For me, no other film captures the spirit of the 80s as well as 'Back to the Future': the coolness, the fun, the music - if you want to re-live the experience (or feel it for the first time, if you have the misfortune of having been born too late), watch Marty McFly (Michael J. Fox) going back to 1955. Robert Zemeckis has created a film that is as close to perfect as anything could possibly be. I won't go into the details of acting, plot, photography etc. 'Back to the Future' is irresistable, and that's it.","
            10/10
            "
"claszdsburrogato","1 January 2024","Back to the Future is an undisputed classic of cinema and science fiction as a whole. The film still works as an entertaining work, however, that doesn't mean it isn't a product of its time. The way the narrative is executed, the comedy is inserted and even how the visuals are displayed is, without a shadow of a doubt, dated. Does this mean that the work is bad seen through today's eyes? No. The work well portrays its time and the vision of the future that society had. Everything here is a huge reflection of the 80s. Even so, the work doesn't become any less thought-provoking and fun. Every film will always be dated when seen decades later, but that doesn't make it bad.The film, from the beginning, tells the viewer, in an indirect way, what will happen at the end of this story. This is one of the strong points of this film. Back to the Future thinks about many details to make the story round, even if the script falls into problems presented in works that explore time travel. The most important detail of the narrative is exactly how everything is extremely connected. All the scenes presented during the film are important for the development of the narrative and show importance again throughout it. Small details shown in small scenes always return to close the story in a satisfactory way and still leave a hook for a continuation.During many moments the small details presented are not said by the characters, but shown by small images in the foreground. The film takes advantage of small occasions to develop the narrative for the viewer, even though these details often don't seem important at first. Some scenes perfectly demonstrate the differences between the past and future using only the scenery and signs.Back to the Future is a brilliant work that marked its time and is still remembered today as a great classic. The film is extremely fun and its comedic moments are wonderful. The experience of watching this film is unique and becomes even more special when reviewed.","
            10/10
            "
"ryansassy1","21 October 2012","Recipe for fun: take one teenaged boy from 1985, a ""mad"" scientist who's obsessed with finally getting his 30-year experiment to work, and a very special Delorean--mix in some family troubles and a complicated love triangle; cut in some quotable dialog; heat it up with plenty of action; remove from the '80s and let cool in the '50s; and top it all with Huey Lewis and the News.There may be one or two people left on the planet who don't know the plot to Back to the Future. Okay: Young Marty is accidentally sent back in Doc Brown's Delorean from 1985 to 1955 and has to contact eccentric Doc's 30-years-younger version to help him get back to the future. (See what I did there? Clever, right?) Marty's biggest challenge is to not change anything in his past that could adversely affect the future -- say, preventing his mom and dad from falling in love, which would jeopardize his very existence. OOops! That's already messed up, so now he must correct the mishap or he'll disappear before he can get back to 1985.Every element of Back to the Future works to create the coolest comedy of its decade. The comic situations that result from Marty trying to play matchmaker to his own parents are very well-played. Of course the best fun comes in when we get to experience (and in some cases, re-experience) the '50s from an '80s perspective. All these good times are helped along by having the easily likable Michael J Fox in the lead and the incomparable Christopher Lloyd as the hyperactive Doc -- a role he was born to play. Unflagging, quotable dialog powers the plot wonderfully.Back to the Future is the kind of movie that can appeal to anybody from ages 10 to 100. When I saw this in the theater in '85 it was an instant hit across all cliques from the nerds to the jocks -- my generation's primer on time travel movies. I remember laughing right along with my mom and my little sisters. Not that many films manage to pull off that kind of magic, then or now.","
            8/10
            "
"FilmFanInTheHouse","12 June 2007","Back to the Future (1985, Dir. Robert Zemeckis) Story The year is 1985 and Marty McFly is your everyday teenager, except for one problem. He is stuck in 1955. After his good friend Doc Emmett Brown is gunned down, Marty ends up sending the DeLorean back twenty years into the past. Now, he must find the Doc and convince him that he is from the future, in order for the Doc to send him back to the future, but this is the least of Marty's problem. After accidentally getting in the way of the important meeting between his future mother and father, Marty must get them back together before he changes time forever, and destroys his own existence. This is the start of the successful 'Back to the Future' trilogy.Actors Thing important thing about this type of film is that you really need the right stars in order for the story to successfully work. Michael J. Fox plays Marty McFly, the lead character in the movie. He sits the role well of a normal teenager. He can really see the expressions his face, especially when he forgets he's in the past where no one can remember him. Doc Emmett Brown is played by Christopher Lloyd who is probably the best character in the film. His mad movements and acting style, added to his crazy look really made him seem like an actual scientist, who is trying to actually create something beyond reality. Lea Thompson and Crispin Glover portray the mother and father of Marty McFly. Something which isn't often in films today is the same actor playing both the teen and adult version of their character. They were very well cast for the role and the makeup in which they go through really makes them look older, without making it to obvious. All the characteristics remain intact when both young and old.Music The music in the film which is composed by Alan Silvestri includes a few memorable themes but not a huge amount. The theme for the film is quite impressive and is not over used. Its main use of the use is found the actions scenes. Apart from these select few examples, the score can be very quiet. It's really hard to think of a piece of the score which does not include the theme. There are also music from Huey Lewis and The News. These aren't used out of place and still fit in with what's happening on screen.Special Effects Many people see 'Back to the Future' as a special effects film, but this isn't really the case. There are very few special effects shots in the film, but what does appear is quite impressive. There are a mixture of shots which would fit in well with a film today. One shot for example, is when the car disappears and the fire appears along the road. This particular effect would look out of place today, but still is viewable and enjoyable. The final shot in the film, where the care rises in the air and flies towards the camera is a lot better, and it perfectly blends in with the sky and looks very realistic.Conclusion 'Back to the Future' is a wonderful and classic family film which as survived through so many years and still has the enjoyable factor needed to watch it. It's not too long and not too short, and a perfect family film too watch together or even on your own.""What happens to us in the future? Do we become @$$holes or something?""  Marty McFly (Michael J. Fox)","
            10/10
            "
"DavidSim240183","9 January 2005","I first saw Back to the Future a year ago. I couldn't believe I'd avoided seeing it for so long. It has to be one of the most enjoyable time travel stories ever put on the big screen, because it uses science fiction, and grounds the story in human emotion.Robert Zemeckis made a name for himself as a director with Back to the Future, because it was with this film he demonstrated how his storytelling can be likened to Frank Capra. In other words, he infused the intricacies of time travel with a benign, gentle touch, and with his own sensibilities too.Beginning in 1985, our tale centres around Marty McFly (Michael J. Fox). A typical teen of the 80's into skateboarding, rock n roll and girls, he is a young man who just wants to prove himself. He believes he can break the family curse common with all McFly's. Marty could actually amount to something.The rest of his family are really just a bunch of losers. Marty's father, George McFly, is the biggest loser going. He is an overgrown nerd who enjoys corny sitcoms and not much else. George has zero self-confidence, and allows himself to be antagonised, especially at the hands of his own personal tormentor Biff Tannen.Then there is Marty's mother Lorraine, who is an alcoholic, smokes, and looks older than she should. Its also clear she is in an unhappy marriage. Just look at her face when thinking about life with George. You really feel sorry for her.Marty's brother Dave is a pizza delivery boy, and his sister Linda must be the youngest old maid ever. Marty is really the only normal person in the family. The only bright spots in his life are his girlfriend Jennifer, and his friendship with the wacky inventor, Doc Brown (the brilliantly nutty Christopher Lloyd).Doc Brown is one of those eccentric kooks with a twinkle in their eye right out of a Jules Verne novel. One night, he needs Marty's help with his latest experiment. He has converted a DeLorean into a working time machine.Powered by plutonium, and at 88mph, it can literally travel through time in the blink of an eye. Unfortunately, Libyan terrorists Doc double-crossed have caught up with him, and kill him. Marty avoids the same fate by jumping into the DeLorean, and accidentally sends himself 30 years into the past.1955 is completely alien to Marty, and an even bigger shock awaits him, when he meets his future parents who are still teenagers. Marty interferes with their first meeting, and puts his own existence in jeopardy. If George and Lorraine don't get together, Marty will never be born. And that's just one of the problems he has to contend with! Since the DeLorean runs on plutonium, and used it up when Marty made the trip to 1955, he is now stranded. Fortunately, with the help of the Doc Brown living in 1955, they hatch a plan to get Marty home. In one week, a lightning bolt will strike the Hill Valley clock tower. By using its power, it will generate the electricity the DeLorean needs to make the return trip to 1985.If all of this sounds complicated, it isn't. Back to the Future isn't nearly as complex as it sounds. It is wonderfully entertaining. Marty becomes George's best friend, and helps him find the confidence he needs to stand up to Biff. Marty playing matchmaker to his parents is not only fun to watch, but also amusing. Lorraine falls for Marty herself, which further complicates his agenda.Although I am not a big fan of Michael J. Fox, he was spot on as Marty. He brings the right amount of teenage rebellion to the role, as well as amazement at his situation. He also has a terrific chemistry with Christopher Lloyd.I can't imagine anyone else as Doc Brown. He is so zany, but so sincere. His hand gestures and body language are perfect, since he modelled his performance on the composer Leopold Stokowski. Every move he makes is always like addressing an audience.The idea of a DeLorean as a time machine was brilliant. It is great to look at, and also provides one of the best visual gags in the film. After Marty first arrives, the family who see the car mistake it for a flying saucer with its gull-wing doors.There are so many terrific scenes I could go on forever. Some of the most memorable are George standing up to Biff, George and Lorraine's first kiss, and Marty's attempt to return to 1985. You can't help rooting for George and Lorraine, because you really want them to get together. What is more satisfying, is because they meet under different circumstances, they become better people as a result.Marty playing Johnny B. Goode is great too, especially when he confounds the audience with their first taste of rock n roll. It really gets intense and gripping towards the end, because you don't know how things will turn out for Marty. The musical score by Alan Silvestri helps no end, which is so uplifting and exciting.Robert Zemeckis also showed his flair for special effects with Back to the Future. They hold up well after 20 years, and unlike most directors, Zemeckis incorporates them without overshadowing the characters.Back to the Future is by far the best of the trilogy, because of its simplified theme. Part II broke that rule, and was too complicated for its own good. Part III made a welcome return to the simplification that made Part I such a big hit.Back to the Future showed that science fiction can be used to promote humanistic values. Groundhog Day did the same thing for romantic comedies. There probably will never be a time travel story as compelling and heartwarming as Back to the Future.","
            10/10
            "
"Gueyome","16 November 1998","Simply a classic.  Scenario and acting are excellent.","
            10/10
            "
"xiaoli7377","12 December 2022","""Back to the Future"" is simply a must watch classic. Peak 80s era blockbuster movie magic. It's funny, whimsical, and charming. I can't think of anyone who doesn't love this movie. The cast is all teaming with great chemistry, the writing is all superb. I love the fact that this movie has that ever-present layer of nostalgia surrounding it. Must have been nostalgic for people back in the 80s to see a ""present day"" person step back to the 50s, and it retains that nostalgia as a time capsule in the 80s moments.Michael J. Fox and Christopher Lloyd are both great as the leading characters. Marty's parents (Lea Thompson and Crispin Glover) are great in supporting roles. Biff (Thomas F. Wilson) is one of my favorite movie villains of all time. He gets more time to shine in ""Part II"", but here he's great as well.You owe it to yourself to watch it, and if you aren't grinning ear to ear by the time the credits roll, then you probably oughta ""make like a tree and get out of here.""","
            10/10
            "
"Majikat76","22 April 2018","What appears to be quite fun and simple a film on the surface, is a much more complicated storyline, if you sit and work out the complexities of time travel surrounding the storyline.Many quotable lines, the best remembered film of Michael J Fox and a film that has followed me from childhood to adulthood.","
            9/10
            "
"kdnor2011","1 April 2010","Back to the Future could just be one of the most perfect movies ever made. I'm not one to bash other people's opinions, no matter how much I disagree with them, but I can't understand how you can't like this movie. Maybe think it's overrated, but if you live on this planet, you should like this movie. It isn't my favorite movie of all time, but I can find more flaws in movie's I like more than this.Really, all I can do is nitpick the movie, like how Biff is more of a serial killer than a bully, but what would be the point, it would still just be nitpicking. So yes, it does have some small flaws, but that doesn't stop the movie from being a masterpiece.OK, the good stuff now, first, there is something in this movie for everyone. It has comedy, it has romance, it has science fiction, it's a high school movie, there isn't much action, but that skateboard chase is pretty awesome. So basically if you want any of those types of movies, you will get it with this film.The characters are so much fun, and very memorable. Marty is extremely likable, Doc is hilarious, Biff is such an asshole yet you still can't help but enjoy him, Lorraine is hot, and George has some great moments. And I love the story, time travel is one of those things that has been around for years and will never get old. Everything works, and I love the little background jokes it does, like how Marty meets Doc at the Twin Pines Mall, goes back, knocks down a tree, and comes back and it's the Lone Pine Mall.The special effects are great, it's funny as hell, and it's just a lot of fun to watch. It really is one of the most perfect films ever made, the only way to criticise the film is to nitpick, and if you have to do that, then is there really any point in criticising at all?","
            10/10
            "
"bdhuggins","15 September 2020","I will readily admit that I'm flat out plagiarizing (copying) the following review because this reviewer perfectly captured my own opinion and comments that I would say about this movie. The only thing that I might add, kind of an ""honorable mention,"" is to say that the two sequels were nearly just as good! Michael J. Fox is superb and when he's teamed up with Christopher Lloyd, they are an unbeatable pair.I want to thank the reviewer for this excellent review:""Back to the future is probably one of the best movies if not the best movie I have ever seen. This movie is just fantastic, awesome and flawless. The action and suspense of this movie still excites to this day. You can watch this movie over and over again and still be thrilled. Most likely This is easily one of the best movies ever made. A must watch movie for anybody, any age, even if they aren't a very big movie person. Not much more to say.The movie has almost no flaws at all, and will not disappoint anybody who views it. A true classic that will endlessly entertain anyone. Overall a truly entertaining, memorable and amazing movie with very few flaws. Ten out of Ten stars""","
            8/10
            "
"MCMAYNERBERRY","1 April 2009","When Marty McFly (Michael J. Fox) is contacted by his friend Dr.Brown (Christopher Lloyd) to help him test out his newest invention,A Time Machine, Marty doesn't know what he's in for. The two are attacked by Libyans and Doc Brown is supposedly killed. Marty jumps into the DeLorean and transports back to the year 1955. After that, everything turns to chaos. He accidentely screws up his parents first meeting and gains Biff as an enemy. With time windling down a thread, he starts to receive help from Doc 1955 and tries to get his parents together before he fades from existence. One of the greatest sci-fi films of all time. Back To The Future 10/10","
            9/10
            "
"nickmesafilms","13 October 2011","One of the most entertaining science fiction movies of all time, since ""E.T."" and ""Star Wars"". ""Back to the Future"" tells the story of Marty McFly, who accidentally gets transported into a time machine, built by a wacko-genius scientist named Dr. Emmett Brown, and accidentally gets sent into 1955, and interacts with his parents as teenagers. Know he must get his teen parents together before the space-time continuum can mean the end of the world, and he must get back home to 1985 quickly. Now, I'm a big fan of science fiction, and this movie is a gigantic time-travel masterpiece. Michael J. Fox and Christopher Lloyd both lead an all-star cast with incredible and hilarious performances. The cast also includes the many great performances of Lea Thompson, Thomas F. Wilson, and Crispin Glover. Robert Zemeckis does an amazing job of putting the movie together, and he joins Bob Gale in writing a well-written tribute to science fiction. The sound is super and superb, the visual effects are groundbreaking, the cast is incredible, the soundtrack is awesome, the score is amazing, the characters are well-memorable, and everything about this movie makes me wait for more, and I'm always entertained by this movie, even when watching over and over again. ""Back to the Future"" is science-fiction genius, and it's one of the many groundbreaking cinematic achievements in history. ""Back to the Future"", in my review, ""an incredible science-fiction tale, filled with entertainment to enjoy"".","
            10/10
            "
"kimberleyschmidt","30 March 2022","In fact, I saw the film for the first time properly a few days ago, which is a shame, because I actually like such old movies very much and the film is simply cult! He has a very classic humor and films in which the mother falls in love with her son would probably no longer exist today. Rightly so, because it provided the one or other cringe moment.Due to the cult status I had very high expectations of the film, which unfortunately were not quite met, but I was not completely disappointed either. The film has wit and you fever with Marty, who tries to bring everything back in order. Like many films from these years, it has a very pleasant mood and you could fully immerse yourself in the story. Even though some elements were very predictable, you were surprised in some places. I must say that I liked the first part best. The second was also still okay, but the third would not have been necessary in my opinion.Clear recommendation to all who have not yet seen the film, because it is simply a must-watch!","
            10/10
            "
"alexpeychev","25 January 2021","Zemeckis's 'Back To The Future' trilogy has been a childhood favourite for a long time. Having revisited it today, brought me to a nostalgic state. The 80's saw a lot of excellent original fun 'young' films like 'Back To The Future' (of course), 'Better Off Dead', 'Heathers', 'The Breakfast Club' etc. What really made these films immensely enjoyable then, and classics today, is that they really reflected what it was like being a young person in the 80s. The movies themselves were well written, well executed, well acted and they cut straight to the point.Back to 'Back To The Future'. This one is sheer fun, even today. There's an incredible energy about it but it still manages to stay an 'innocent' film. The music is very effective. It's slick and follows a steady pace. The special effects are decent. Though people might pick on the plausibility of the time travelling, I think this is really a very minor flaw because it is overall a well written movie and the point was to entertain. Yet, this is not to say that it's brainless entertainment. I think it cleverly brings forth some interesting themes and I liked how they funnily used some ideas of Oedipus Rex's story.The acting is superb overall. Christopher Lloyd as the over-the-top mad scientist is a laugh riot. Michael J. Fox totally owns Marty McFly with his natural charisma, raw energy and brilliant dialogue delivery. Lea Thompson is cute and vivacious and Crispin Glover is good.'Back To The Future' is one of the most enjoyable time-travelling classics. It's over 23 years old and it still hasn't gotten old. Sadly, they don't make it like this these days but then again we always can revisit them. That's why they're classics.","
            10/10
            "
"DannMarshall","20 November 2005","After 20 years this movie is still one of the best. Once you get into this movie you don't want to get out. I like this movie so much that I have watched it more times than I can count!! Just the music in it alone you'll love. With the exception of the first 15 minutes you'll really enjoy this movie. I urge you to buy this movie, and the whole rest of the trilogy because it's something the whole family will love. It's heart pounding entertainment and it was done very well by a very good director! This movie may now be a part of the past but, the future lies in our hands!!!","
            10/10
            "
"zeekwunlau","22 April 2020","What matters is not the past, but the present and the future.Maybe this is what the movie ""Back to the Future"" is about to tell us.Martin lived in an ordinary family from an early age. His father was weak and incompetent. He had no other hobbies than watching TV and eating. And often bullied by his boss. Martin was also looked down upon by the teacher at school, because this teacher was also the teacher of his father George thirty years ago.The mother married her dad because of compassion. After marriage, she lived in fantasy and gradually became an alcoholic and obese woman.His older sister and older brother also lacked talent. His older brother worked as an ordinary worker, and his older sister was as bloated as her mother and lacked charm.But in such a family, Martin is a person with ideals and vitality.He played skateboarding fascinatingly, and organized his own band, self-innovated genre, he also became a year-end friend with a Frankenstein.It was Martin's maverick that changed the fate of this family.In an accidental experiment, he took a time machine made by a doctor back to thirty years ago. And met the parents of the year.And even more accidentally, he actually became the object of his mother's admiration instead of his father.If he cannot make his parents a lover at the time destined, he will disappear from the earth.Therefore, a series of actions to match his parents were put into practice, and in the process, with his continuous encouragement, his father George finally became brave, and finally won the heart of Martin's mother with his personality charm.Of course, the most interesting thing is at the end. When Martin overcomes many difficulties and returns to the future, everything in the family has changed.The elder brother became a senior clerk, his father was a famous writer, and his mother was a new type of woman of the times, and avant-garde.In the memory of everyone, there is no longer a past life. Those unpleasant past events are only kept in Martin's memory. Of course, everything now is so GREAT for him.","
            8/10
            "
