"jwUsernames","jwReviewer_Date","jwReviewer_Content","jwRating"
"Jerghal","19 January 2015","John Wick is and old fashioned revenge movie -much like 'The Equalizer' is actually- but a lot more wicked (pun intended)! I think I don't have to explain how these revenge movies work: they (the character and the audience) need a reason to take/want revenge on the bad guys and then you can brace yourself for the violent killing spree that leads up to the main prize. What Keanu lacks in sympathetic warm charisma (like Denzel) he more than makes up in coolness and style. John Wick is just badass! The fights are excellently choreographed (Wick uses the Central Axis Relock System in combination with martial arts moves) and the gunfights are fast and furious. The overall design of the sets and costumes is very slick and stylish and the soundtrack also features some cool tunes. Although the script wasn't written with Reeves in mind, it does feel like it fits like a glove. John Wick wasn't a great box office success but I bet this will grow into a cult hit on DVD and Blu Ray. Do check it out!","
            1/10
            "
"LeonLouisRicci","9 April 2015","If You Mess with a Man's Car, better Look Out. If You Mess with a Man's Dog, better Look Out. But if You Mess with a Man's Car and His Dog, well, there's just No Telling.Keanu Reeves is the perfect ""Actor"" for this Type of Thing. That is, a Character that is Myopic, Speaks in Short Stunted Sentences, and Never looks Distracted by anything requiring Thought beyond those Instinctive and Highly Trained Survival Skills.This is one of those that must be Applauded for Not Reneging on its Promise to deliver what You pay for. It knows its Target Audience and doesn't try a bit to Educate, Enlighten, or Expand Their Worldview. It Serves Up just what is expected and required to Not Disappoint.Thanks also for the R Rating. No Cop Out Fudging the Violence. That would have been a disaster. Just look at the ""Expendables"" Movies. When there is so Much Carnage On Screen and No Blood, or Heads Exploding, the result is a Dull Affair of repetitive Frolicking in Laughable and Lame Action Scenes.Not that this Thing is Trying to be Realistic. Far from it. It's Roots clearly Lie in First Person Shooter land, and there is about as much Dialog or Concern for Character Development as in a Video Game Shoot Em' Up.That's really All This Is and it makes No Apologies. There is the Added Treat of many Cameos by recognizable Character Actors and that Adds to the Fun. The Movie isn't anything that Special. It's just a Highly Competent and Enjoyable Ride of Revenge Flick Mayhem and requires You Bring Nothing more to the Screening than a Desire for Escapism.","
            10/10
            "
"aleeward","9 December 2018","John Wick retired from being an assassin because he falls in love. Ahhhh 😑 However he is forced back into the underworld by the son of a mafia boss who kills his dog.This son apparently not knowing who John Wick is, despite everyone recognising him, including a dumbstruck cop who turns up at John's house after he's shot an endless stream of baddies in the face.The one thing I liked in the movie is the Hotel/Club that seems to be an escape where baddies can go and the only rule seems to be that no ""business"" i.e killing, can occur on the premises. (Cue the inevitable killing spree on said premises)There's really nothing else to this film. It is laughable, with so many plot holes, but I can't stop watching a film once I've started so I ploughed through. Now I'm going to have to watch two sequels for closure.If you like mundane gunfights and people being thrown over shoulders then shot in the head........this film is for you.","
            7/10
            "
"ayoreinf","27 October 2014","I stated more than once over here that though I don't like comparing movies, sometimes a comparison is unavoidable. This is doubly so for John Wick. First is the almost automatic comparison with The Equalizer. Another retired professional killer forced out of retirement into an all out collision with the Russian mob, (boy, are they once again the popular bad guys in town). Well, despite some obvious casting advantages the earlier release has over John Wick, mainly as far as the leading role is concerned, The final result is working in favor of John Wick. It's plot is much more believable than The Equalizer's, it's fight scenes are way more real, look less like a choreographed ballet and more like a fight to the death, in which both sides are drawing blood.The second comparison I feel that I must make goes a bit further back, all the way to Eastwood's masterpiece Unforgiven. Another man with a bad past coming back to avenge a seemingly minor crime, this time not hired but much more driven and there a few other similar plot twists which I can't discuss without adding a spoiler. Once again we have a film debating the nature of evil, and when is evil not really evil, and John Wick doesn't do too badly in this comparison as well. I must refer to Keanu Reeves shortcomings as an actor. His range is well known as limited but he usually has a flare for choosing the right roles for his abilities, he does exceptionally well here, despite some early wooden moments at the very beginning of the film. The rest of the cast is superlative, apart from Michael Nyqvist, who's delivery in English leaves a lot to be desired. Yes the language should sound foreign in his mouth, but the emotions should still be there, and they often felt forced too me. The rest is very well done, the pace, the cinematography, all were right on the spot for the film. A proof that action flicks can be thoughtful and emotionally true.","
            8/10
            "
"hitchcockthelegend","5 April 2016","Keanu Reeves is the John Wick of the title, a grieving one man army who gets tipped over the edge when gangsters kill his dog. Carnage ensues.The paying public do like a good revenge flick, there have been plenty this last couple of decades, and they do go down well. Once the set-up has been staged - Wick grieves at the loss of his loved one - gets some small joy via a pet - only to have that snatched away from him, then the film becomes a joyously unstoppable actioner.Wick, in good hands with a moody and beefy Reeves (face fuzz strange, though) strong in presence, cuts a swathe through the gangland eastern blockers. And that's pretty much it! Characterisations are thin on the ground, it's a bit nutty and of course preposterous, but boy is it fun. There you go, a box office winning actioner without pretensions. Enjoy. 7/10","
            8/10
            "
"Uriah43","19 January 2017","""John Wick"" (Keanu Reeves) is a highly regarded hit man for the Russian mob who has gotten married and retired. Sadly, five years later his wife dies and he is overcome with grief. Anticipating the impact her death will have upon him, his wife makes one last secret arraignment and has a little puppy sent to him a few days after her funeral as a parting gift. Realizing the love behind the gift he immediately becomes attached it. However, one morning while walking down the stairs of his home he is hit on the head by a thug named ""Iosef Tarasov"" (Alfie Allen) and before losing consciousness watches as it is killed in front of him. Afterward, Iosef and two other hoodlums then steal his mint '69 Mustang and leave. That afternoon these same thugs take it to a body shop to sell but the owner recognizes who it belongs to and refuses to have anything to do with them. As it turns out, Iosef is the son of a Russian mob boss by the name of ""Viggo Tarasov"" (Michael Nyqvist) who becomes terribly upset at Iosef for what he has done and desperately attempts to make amends with John. Unfortunately, John refuses to talk and this results in Viggo sending a dozen men to kill him at his home. But John is waiting for them and none of them come back alive. And now it's his turn. At any rate, rather than reveal any more I will just say that I really enjoyed this particular movie and it kept me entertained from start to finish. I especially liked the performance of Keanu Reeves who essentially owned the role and provided a dominating presence throughout. In short, I thought this was a really good film and I have rated it accordingly.","
            10/10
            "
"spideryaman","17 July 2018","I'm already almost 4 years late to the party, and I'm surely not going to hate on this movie because, by now, people probably know what to expect prior to watching it.I've given it 5 because, come on, it's Keanu. Other than this, the story is typical. You will predict the ending after 10 minutes.It's straight up Rambo up in here; guns blazing shooting everyone on sight. I read somewhere the Wick's body count was 84. This is a lot of people to kill in about 2 hours.I'm going to watch chapter 2 anyway. Be careful not to piss off John Wick or break into his house, he once killed 3 armed men with a pencil!","
            5/10
            "
"Mr-Fusion","23 March 2015","Keanu Reeves isn't the guy that seems suited for your usual revenge flick, but he works fairy well for ""John Wick"". There's an inherent detachment to Reeves for a good portion of the film, but he's also got that quiet brooding that roils beneath the surface.Probably the best thing about this movie are the action scenes, which aren't cut to shreds. They're well-staged and have a nice fluid brutality to them. Simple but effective.What was also really nice was the clearly defined (under)world with its coded language, currency ad protocols. It harked back to ""Payback"" and the mob-as-corporate-culture. Also, Wick had modern dress and domestic appointments (probably due to his departed wife), but he's using an old touchtone phone and getting around in circa '79s cars. Little touches that add character.It's great news that they're planning a sequel. They've already built the world, and I'm in for more.","
            1/10
            "
"luke-77344","12 January 2018","I fell asleep watching this! I seriously had no idea what was going on. When I found out it is the same director as ""Atomic Blonde"" it all made sense. I don't like films with no story. BREAKING NEWS my friends: Making things look ""blueish-green"" hue doesn't make a movie COOL.","
            8/10
            "
"TristanSilya","10 June 2019","I'll keep it simple and short:John Wick himself is a skilled assassin. However, a major reason why he IS soo ""legendary"" is because of how lame and stupid the bad guys are. Technically John Wick should have died roughly four times in the movie but because the enemy were stupid or for the convenience of John Wick, he lives.Aside from that the action is not bad, Keanu did great, and the whole continental concept is interesting. If you're looking for a more fleshed out movie with character development, sensible action, and a more realistic execution then this isn't the movie.","
            10/10
            "
"freshclean-66-318608","25 February 2015","Yep, this is a good action film, kind of simple, but good. The action in this film is enough to keep action movie fans happy. It didn't have long boring scenes that would have you sitting around waiting for some action to start. It was perfectly done, much like ""Predator"" or ""The Equalizer"" or, better yet, ""The Matrix"". In fact, while watching this film I was reminded of the ""Matrix"" a time or two. No mystery why. The acting was done well too. There were a few familiar faces from the small screen(HBO) as well. All of the characters were convincing and believable. John Wick(Keanu Reeves) is an ex-hit-man who is forced to come back to work to find the people who took everything from him. Like I said, it's simple but it's good. Now it is violent but it is fun to watch and it will keep you interested.","
            7/10
            "
"louwburger-42312","3 June 2019","Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.","
            10/10
            "
"alansilvestri","17 October 2018","This was unwatchable since the dog killing scene LOL so he is a professional but let few idiots to get inside his house and kill his dog and take his car but then he goes and kills everybody hahahah.This was the dumbest movie I have ever seen with such a great actor.It was a pure waste of time. At the end it was soo bad I had to skip the part where he had to kill the boss. Why would I continue watching this garbage I already knew he will kill the boss and all blah blah blah.The director really wanter rain and go it but he really wanted the 2 guys wounded to be wasted and look at each other like any big action and he got it but he had to find a way to injure John Wick and could not find a way so John guy himself so he can be down on the ground with the boss looking at each other .This was the funniest moment ever.I did not watch the entire fight I skip to that part and was curious how John Got hurt by that old boss so I had to watch that joke again so yeaa ok John Hurt himself.LOL I really hopped John Wick to be my new 3 part favorite movie but I will never watch the other 2 parts.Sorry, this is a plain dumb movie.ahahah what was this?some kind of new comedy LOL","
            7/10
            "
"Slarkshark","8 June 2021","Introducing the biggest on screen BAMF of the last decade, Mr. Wick AKA Baba Yaga. And a huge comeback for the apparently never aging Keanu Reeves.John Wick screams cool, except he is actually a man of few words, and the coolest characters usually are. He has one of the coolest cars ever made, has great style, but most importantly he's second to none when it comes to dealing out death. The gun fighting these movies have become known for is incredible. I really enjoyed seeing the different martial art styles, especially judo.As the viewer we are introduced to this classy underworld of assassins that live by a code. This is of course delved into more during the sequels. The colour theme is mostly dark throughout it's entirety, other than flashes of neon as seen in the club scene. This is consistent with the sequels, and I love it.The first entry is superior to it's sequels. Sometimes less is more. This is easily in my list of top movies, and one of which I do not get tired of. Also comes complete with a fantastic cover.","
            1/10
            "
"thomas-w15","20 November 2014","John Wick: In the 90's and early 2000's, any action movie with Keanu Reeves was a must--see movie for all. In the past eight years or so, Keanu Reeves practically went off the map and no one knew if he was still acting anymore. Then, he suddenly decides to pick up where he left off and return to action. ""Everyone's been asking me if I'm back, yeah I'm thinking I'm back- John Wick."" With the plot of John Wick somewhat laughably mimicking the career of Keanu Reeves, we cannot help but enjoy the thrilling ride of seeing a solid action film.I do not usually give the plot of the film but I feel it is appropriate for this one. John Wick, a once great hit man, comes out of retirement from his peaceful quiet life to track down the men who took everything he had, showing he has not lost his touch at what he does. With the exception of trying to enact revenge on people who wrecked his life, that plot sounds a lot like Keanu Reeves's career. That is why I thought he was perfect for the role and why the role was perfect for him. I would have given this movie a higher rating if it was not for the fact that I have seen this type of movie many times before. In fact, John Wick reminded me a lot of a movie I saw a month ago called The Equalizer which has an extreme number of similarities with John Wick. If it was the first time I ever saw a movie with this plot, it would be one of my favorite films. Sadly, it is not the case and I never was really surprised with the direction the movie went.Enough about that, time to get on to why I still liked the movie. The main reason the movie is very enjoyable is because it accomplished what it wanted as solid action film. It did not try to do more or get overly complicated in it's own plot leaving the audience lost. It was clear-cut and direct, what many films are not successful achieving. There is no one is better to achieve it than Keanu Reeves. I am not sure if the script was written with Keanu Reeves in mind or if it was just cast perfectly. Whatever the case may be, the intimidating, quiet, resourceful guy pretty much describes Keanu Reeve's bread and butter role. The rest of the cast did their job accordingly, but Keanu Reeves definitely shines in his return to action films. If you are in a theater where they are showing both John Wick and The Equalizer, flip a coin and you will enjoy both of them equally. Still, I recommend you see John Wick at some point while it is still in theaters. For more of my reviews go to my website at reviewsbywest.com","
            8/10
            "
"cricketbat","31 October 2018","Every now and then, it's nice to watch a movie like John Wick. This revenge film is unapologetically brutal, and it gives us a protagonist that is single-minded in purpose and extraordinarily good at what he does. It's a simple and satisfying action flick. I could see John Wick going toe-to-toe with many of the classic action stars we already know and love and I welcome him with open arms (and a concealed side arm).","
            8/10
            "
"pokemon_trainer_lucas","21 June 2019","Whilst the plot of this action movie was no different from many revenge films, the pure violence and gore in John Wick combined with the intense and fantastically choreographed fight scenes left me open-mouthed and full of adrenaline! There was just something new and thrilling about the way in which Keanu Reeves portrayed his character that left me in love with this film. I highly recommend it.","
            1/10
            "
"lopezpatricia-06139","26 October 2020","Keanu reeves is super smooth as John wick. A typical revenge story but done so well. Great camera detail in the bullets through the head, and believable fight scenes. Quite satisfying","
            7/10
            "
"botfeeder","25 August 2022","I guess some people liked this as pure action, no plot, something to let your brain go and just watch a lot of shooting.Personally I would have preferred a more interesting story than just- legendary action guy gets wronged and fights a lengthy war to punish those responsible.","
            3/10
            "
"backup-50362","28 September 2021","...because I now know he's ready to take literally any cringey role in any terrible cringey movie. Just because this one turned out to be a commercial hit, doesn't mean it's because of him.I know he's said to be a really cool guy in real life, but as an actor he's done tons of mistakes, kinda like Nicolas Cage, after a point you can't really see him in a movie and get invested at all.And this is such a case. I couldn't enjoy this movie or see him as anything other than the pathetic emasculated loser in the quasi-feminist simp-fantasy-cringe movie Knock Knock now.Of course John Wick kills all the men but the women who betray and try to kill him he lets go. Of course he's a simp like that. How could a Hollywood movie not be so predictable?","
            10/10
            "
"Java_Joe","6 August 2019","Keanu Reeves has been called a lot of things but a good actor with range is not necessarily one of them. Don't get me wrong, I like him as an actor but he has a very narrow range in the roles he can accept. Either he plays the big, dumb doofus or he plays the loner of few words in those movies he can truly shine. And this has been shown time and time again. His dramatic roles? They tend to come off flat and stale. His attempts at accents? They tend to be terrible in every sense. But movies like ""Bill & Ted's Excellent Adventure"", the first Matrix movie or this one and you can see what he's really capable of.John Wick is the story of a hit man who's left that life behind. He wanted out but things force him back into it and he does not go happily. He's described as a man of focus, commitment and singular will. He never fails a job. He never gives up. And he once killed three men in a bar with a pencil. He's that much of a badass. We catch glimpses of another world where assassins get contracts, where there's hotels and services that cater to these people and where everything is paid for using gold coins. It truly gives the feeling that this is a fully fleshed out universe with history, a code of conduct and it's something happening just under our noses without us knowing.The movie itself is a work of art. Whereas in a lot of action movies there's a lot of shaky cam work and quick cuts to hide the lack of skill of the actor, this one goes the opposite way and shows everything. There are long shots of John Wick doing his thing. There's fight choreography that is just beautiful to behold in it's brutality and execution. Keanu trained for this and it shows.When you get down to it, it's a revenge flick but one the likes of which you probably have never seen before. It's Keanu at his best and with luck he will continue to make movies like this in the future.","
            10/10
            "
"ranblackman","28 May 2019","Fun, just fun. Not your typical action movie. Not messy like a lot of them are typically now. The fighting and gunplay is very smooth, yet also highly graphics and violent. The story, about a retired hitman seeking revenge over the death of his dog, is simple, but since Jon Wick is portrayed as a tragic, sympathetic character, its good enough. Reeves also turns in a surprisingly good performance. If nothing else, this movie deserves respect for its attention to detail. These filmmakers really know what they are doing, they craft and layer this thing with a passion that makes it highly pleasurable to view, right down to the subtitled conversations, being very in sync with whoever is speaking, to a degree that makes reading them faster. That's what this movie is, fast, quick, constant action, with a simple effective story and great performances, also with a passion and professionalism that makes it stand out from the rest. It has earned its spot as a milestone for the genre, based on that alone.","
            8/10
            "
"captainmike-michael","23 November 2014","This action adventure presents a simple, straightforward violence and revenge movie that does not offer any refreshing idea, but some creatively designed small elements in the gangsterism world and its political cultures however might surprise the audiences. John Wick is definitely portraying Keanu Reeves rather than the other way round who used to be expressionless or impassive, cool and less talking, and perhaps his personality and life experience might be the two important factors that make him suits perfectly in this character full with sorrow, miserable and anger. More than three quarters of the film are filled with stylish scores, adrenalin-rush and thrilling action art sequences captured in great angles and cinematography, but the emotional built-up and the relationship with the cute puppy in the beginning seems to be too short, pushing the film towards a slight monotonous ending.","
            8/10
            "
"adamdustin6","22 May 2019","Smart, edgy, quirky and action packed revenge film highlighted by a stellar lead performance by Keanu Reeves and equally effective supporting villainous role by the late Michael Nyquist. As good a shoot-em-up action film as there is.","
            6/10
            "
"KineticSeoul","3 February 2015","This is a sly, swift and stylish action movie that is actually a decent popcorn flick. Sure the plot isn't anything grand, but that isn't the core of this movie. A movie such as this needs a spark and how to go about it from there on. It isn't as adrenaline filled entertainment like ""The Raid"" or has a super well blended and enticing story mixed with action like ""The Raid 2"" but it'st still a pretty cool movie. And seeing Keanu Reeves kicking ass and taking names is just the bonus. Like I said the plot doesn't have anything that really stands out, but the stylish cinematography, choreography with enough cool action elements make this one worth at least one watch. Especially if you like action movies. However I could see why some audiences would not like this movie and why some people just wouldn't. You could really tell the directors got their ideas from past action movies, anime and video games. ""Max Payne 3"" really came to mind while watching this.7.5/10","
            8/10
            "
"hania13-1","25 January 2015","many times i have found myself to strongly disagree with the rating of a movie in IMDb but not as much as this one...7.3 from 68.000 voters? is this a joke? there is no point at all watching this film unless you have two hours of your life to waste..the film is inadequate from every aspect...i guess if someone gives me tomorrow a camera to shoot and a pencil to write the scenario of a film the outcome will be more or less the same. i am sorry for what i am about to say...but this is what comes in my mind every time i get so disappointment from a movie that has so high rating but mine is far far below. I believe that the IMDb should introduce two different rating categories... one for the citizens of US and one for the rest of the world.","
            8/10
            "
"Zulfmanauthor","1 February 2015","In today's day it is as hard to make a good action movie as it is to break box office records. Thrillers may be based on tried and tested formulate, but that is the reason why to bring something new and refreshing becomes harder and harder in this genre. 'John Wick' is a tale of revenge, a man with a violent past who is brought back to the life he left behind when he is brutally attacked and his dog is killed. The plot works because it doesn't try anything new, in fact it takes you back several decades to Lee Marvin in 'Point Blank'. Keanu Reeves's character of 'John Wick' is a throwback to Lee Marvin, Charles Bronson and every other bad ass who doesn't bother to say much but shoots instead. This in itself is refreshing, just a simple action thriller with no over-complicated storyline and ingenious twist. This movie is quite different to the other great tale of revenge released at the same time; 'The Equalizer', mainly because Keanu Reeves is a much different actor to Denzel Washington. John Wick is for the lovers of hard action and no frills!","
            7/10
            "
"bleecole88","23 January 2015","This movie has some of the best quotes I have heard since a Tarantino Movie. A past assassin who tries out a new life, of marriage, and bliss. When he looses his wife, and someone kills his only thing given to him from his wife before she died, he has to dip his feet back in the pond of chaos, and ends up taking out the whole Russian Gang of New Jersey to kill the bastard son and everyone infected with the curse of being related or working for the kids father, who is the Russian Mob Boss of New Jersey. Great Acting, Great Actors, and I noticed Keanu is doing a lot of his own stunt work in this movie, and had to do a lot of Close Combat Training for this movie, and future movies to come. I seen he stars in Knock Knock a recent Sun Dance movie just released, but Akira is the movie I am waiting to see him in. This movie is great, and keeps on you on the edge of your seat. Watch it to find out if he gets revenge for the person who took everything from him after he lost the only thing that mattered in his new good life.","
            3/10
            "
"ek-37904","12 January 2018","This movie is an insult. I watched this pile of garbage till the end, in agony and cringe, hoping for some plot twist or something interesting but there was nothing. 
The whole movie is about brick faced Keanu Reeves shooting 100-200 thugs in the head, because Theon Greyjoy has stolen his car and killed his dog. 
Avoid this trash at any cost.","
            9/10
            "
"russellingreviews","12 November 2014","Keanu Reeves has not offered the cinematic world much since The Matrix trilogy. Can John Wick reignite his impact? Walking into the cinema... John Wick has had a positive buzz, but is it enough to get people to the theatres? The appeal is seeing Keanu back in his wheel house. Films with short bits of dialogue, subtle humour and a multitude of action. Not since Point Break has Reeves had a role that looked so right for him. Overall rating: 3 stars Cinematic value: 3.75 stars Family value: 1.5 stars'Fortune favours the brave' English translation of John Wick's tattoo'Do not mess with a man's dog' is basic knowledge in film class 101. From Old Yeller to Turner & Hooch, the dog serves as the catalyst for some of the key events in film history. John Wick is no different. Wick's last gift from his recently deceased wife is a puppy named Daisy. She serves as a connection to his wife and as comfort during his grief. Through a chance encounter with the Russian mafia, he is robbed and without spoiling too much of the story, they mess with the dog. Which unleashes a tale of revenge and a horrific day at the office for the men who robbed John Wick. Call it arrogance or naivety, these thieves robbed the wrong guy. Wick only recently retired from being a hit-man. Wick was not just any assassin, but The Bogeyman, feared by the mere mention of his name. The thieves cause the emotional tipping point for him to unleash his revenge on the dark criminal underworld. The story takes Wick on a hunt for the men who 'took away his opportunity to grieve' and through the process, his past is revealed and the audience is introduced to the hit-man's hidden world. His target through most of the film is Iosef Tarasov played by Alfie Allen (Game of Thrones), who seems to have perfected the pathetic, elder son role in television and on the big screen. The unsympathetic character of Iosef seems to warrant the inevitable vigilante justice from his introductory scene. As with most revenge films, the believability of survival of the main character goes beyond comprehension, but it is an undeniable, guilty pleasure to experience. Keanu Reeves (Matrix) is the champion for the average man. He never comes off as too smart or fit, but is at his best with little dialogue and multiple points of action. This film happens fast and is over before you can consider the sheer lunacy of the concept. The debutant directorial team of David Leitch and Chad Stahelski, give Reeves the perfect storyline to capitalise on his strengths. Like all of the action in this film, they seem to understand that the best lines come quick, subtle and hit their mark. John Wick is a simple story of revenge shot against a dark, criminal landscape, but moves beyond the cliché. Do not misunderstand, this film is exceptionally violent, but the actions of Reeves are projected thorough the film with a force that is fuelled by well drawn supporting characters. Michael Nyqvist, Ian McShane and Willem Dafoe manage well orchestrated dialogue and fill in the necessary back story to quicken the pace of the film. They allow Reeves to be the action lead and he is only required to deliver memorable one liners. The quick linguistic delivery adds the needed levity for the audience to catch their breath. The film deserves its rating due to violence and language, but it does open the door to many conversation points. John Wick wrestles with the love and loss of his wife. Opening a door into the raw emotion that occurs in the life of a spouse that grieves. The loneliness, love and anger spins together into a mix that is not healthy in this film, but warrants consideration and discussion. Should people be given allowance during a time of trauma of the magnitude? The other significant plot point that should be considered is 'The Code.' When the movie moves to The Continental Hotel, things get interesting. This is a world where hit men and women go for a place of neutrality. Winston (Ian McShane) is the owner and stresses the code that underpins this violent world. Only those within the system seem to know the code and understand the penalties for breaking it, but the bigger question is who is the one who determines the code and how should justice be enacted? John Wick is merely another revenge film, but even the simplest of stories can open the door for the bigger questions of life and could even fuel conversation for those who regularly attend these films. Leaving the cinema... This is a simple, but well made film. Cinematic simplicity is a fine line. The creators of the film have to determine what to add or take away for the effectiveness of a film. Sometimes it works and sometimes it does not, but with John Wick it works. This was the right film to capitalise on Keanu Reeves strengths and was a fresh telling of a well worn story line. If you remember anything, don't mess with the dog!Reel Dialogue: What are the bigger questions to consider from this film? 1. Is revenge the answer to injustice? (Psalm 37: 27-29, Romans 12:17-21) 2. What is biblical justice? (Psalm 7:9, Romans 3:5-6) 3. Who determines right and wrong? (John 3:19-21, Matthew 28:18)Please study the rating before going to see this film. Written by Russell Matthews based on a five star rating system @ Russelling Reviews #russellingreviews","
            10/10
            "
"bomars-494-480095","25 October 2014","I haven't seen no preview to it and went to see the movie based on the good reviews here on IMDb. - After I saw it last night, I've got to say that they weren't describing the movie at all honest. - That's why I decided to put out my view of the movie on here.It all starts and already falls with the poor script: some described it as a straight forward story. I just remained asking ""where is the d**n story?""What you get presented with in this movie is a - up until the end still - flat character, who is taking revenge for the loss of his dog shortly after the death of his wife, who also gifted him the dog. So this John is described as a professional with amazing focus and at the same time with great inner rage, why he ends up going for his revenge no matter the consequences. But the movie doesn't succeed in delivering this believable character combining both these extremes. He sometimes is forgiving and other times scrupulous. It doesn't add up... It rather gave me the impression, that he is ""nice"" to people, so they can come again later and make the movie longer. But so is it on the other side with the ""bad"" guys, too. Why are they sometimes ""nice""? I couldn't understand.If you though look from the prospective of the storytelling, it makes sense. It delivers more movie-time! There are a couple of scenes, where it became very obvious, that whatever was going on was for the single reason of prolonging the (rather non-existent) story.What remains most prominent of all this watching time is seeing many head-shots of faces, you can't really make out enough to have some kind of emotional response, other than the excitement of the fighting itself.I liked the music though. It's fitting to the excitement of this one man offense.I hope with this you can better decide for yourself, if it's worth your time and money.","
            10/10
            "
"diggerz039","27 May 2019","A film with everything you need!Filled with Karma, violence, good story and a hint of sadness.What else can you want?","
            1/10
            "
"michaelt281702085","13 March 2015","I hate movies which include dogs, because somewhere along the line that dog is going to get killed.I guess I'm a sensitive man, but at the beginning of this movie when our hero receives a present of a little spaniel dog from his wife who had died of cancer, this film took on heart, but it was all short lived, because the dog got killed by thugs who beat up our hero John Wick and then you hear the dog yelp and then you see the dog from it's back, lying dead by John Wick when he wakes up from his beating.John Wick the character has heart, he cries at his wife's grave side, I lost my own wife to cancer in September last year 2014, so I could empathize with the character.All in all this was a very good movie with excellently rehearsed fight scenes, very cleverly directed. But getting passed the doggy being killed, kind of spoiled it for me.","
            1/10
            "
"Figgy66-915-598470","10 April 2015","10 April 2015 Film of Choice at The Plaza Dorchester Tonight - John Wick. If you are not a fan of gratuitous violence, blood and gore.....stop now, this film is not for you. However if you are a fan of the action/thriller genre with all of the above included the. I thoroughly recommend this film. Keanu Reeves has definitely matured, this film, although a little wandering at the beginning, was gripping stuff. Reeves plays John Wick, a professional hit-man who fell in love and retired. When everything is taken away from him he looks for revenge and with his reputation definitely preceding him, he systematically exacts revenge from those who must pay. This was set in New York, a city beautifully shot from above, at night, looking straight down. Wick's world is one with rules of it's own, and you just accept this story without wondering why the good citizens of New York are not getting their knickers in a twist about the bodies and car wrecks piling up. Elegantly written, these people simply do not exist and the story continues on regardless. It wasn't until the credits came up at the end that I realised that the film was produced in part by Eva Longoria (of Desperate Housewives fame). Not everybody's cup of tea but I'd definitely raise another Earl Grey.","
            9/10
            "
"Floated2","5 July 2015","After hearing about the surrounded hype of John Wick, one must have been decided to see for themself how the film stacks up. And for one, I believe the film lives up to its hype. Having been called the best or one of the best action films of last year- 2014, it really does deliver on action and what makes the film standout, is the style and visuals. We have seen many action films in the past years but John Wick delivers and standouts due to its level of non-stop action and the way the action is being brought upon us. There have been plenty of action films with characters such as John Wick- highly secretive hit- man/detectives that play it cool, but in this film we see Keanu Reeves really play the part perfectly.Like most films, especially like he Equalizer- another 2014 action film, this film has a great set up and it builds the suspension, but as the film gets past half way, it really does become a great entertaining ride. Like many, the action is a serious tone and it works well. The sequel will be very anticipated, and we all hope it delivers. Keep a steady eye out for it. We all know it will come upon us quickly.","
            10/10
            "
"aramt-07935","25 June 2019","Very good if you don't understand russian)))
many goofs for people speaking Russian,other than that it's a solid movie!","
            8/10
            "
"Musa-Kerem-Boz","24 March 2023","Summary: We watch the pure and intense emotional bond between a boy and an alien who meet by chance.This movie presents us with a gripping plot as well as excellent action sequences and these are really good reasons to call this movie good, but I think the movie's potential is wasted. In the movie, we see how sad John Wick is when his wife and dog die, but what we are sad about is not the death of his wife and dog, but the grief of John Wick. I think if the movie had been a little longer, and if John Wick had spent a little longer with his wife and dog, maybe then, I could have cared more about those characters. That's the only minus I can say about this movie.","
            5/10
            "
"sammielimehouse-84658","8 August 2021","This was just a taste of what was to come in the John Wick franchise. I really like this movie because compared to the two sequels this one is really grounded and has a lot less going on. Even though this film may not be as eventful as the others, it is still a really good movie, and an entertaining one, which can never hurt. Though, I do think it was the weakest one, which isn't anything to be ashamed of considering the two sequels are some of the best action movies of the 2010s. Overall, this is a good movie that I rewatch a lot.","
            5/10
            "
"SquigglyCrunch","13 October 2015","I didn't expect much with this movie. Just another action film in which my easily impressed friend announced was his new favorite movie.Turns out, it was actually pretty enjoyable. Sure it doesn't have a deep plot or interesting characters, but it has a twist on modern action movies that I haven't really seen. I don't want to spoil anything, but it was actually quite humorous. I found the over-the- top-ness to be quite entertaining. The action is good, nothing special though. Typical action movie action. EXCEPT! John Wick reloads his gun! That's right, this action movie is not only creative, but realistic! Now that's a rarity in action movies these days. Overall, John Wick is different, and it scores points on that level. However, the ending was forced which really took away from the experience, and the action, plot, and characters really aren't anything special (except John Wick reloads), which is where it loses points. I understand that it's an action movie, but that doesn't excuse it from key points required in making a good movie. In the end, if your looking for a solid action movie, then John Wick is the movie for you.","
            8/10
            "
"mats-bjorkman","3 July 2015","People might rave on how good action this movie shows. To me it's just pointless. Even if i swallow the fact that Mr. Wick is doing impossible things during the entire film, the story about an ex hit-man that goes back in business for revenge is so thin, that it could have been told in 10 minutes instead of two hours. All the movie shows is a thousand ways how to kill someone, nothing else basically. Although nicely filmed, it's a big pointless yawn in the end. Keanu Reeves does his acting job much much better in the Matrix, and The action parts there are much more enjoyable. Waste your time on something with brains behind it. This lacks it completely.","
            8/10
            "
