"jprUsernames","jprReviewer_Date","jprReviewer_Content","jprRating"
"mitchelvwijk","10 September 2019","Still one of my favorite movies of all time. It really says something when the practical effect AND the CGI are still compared to movies today.
Truly a timeless classic.","
            6/10
            "
"a-07779-75123","4 August 2020","I believe there is no better example of the duality between ethics and technology than in this film. Spielberg always utilizes ignorance/misunderstanding as a catalyst for what takes place in his films. Dr. Hammond's failure to understand the power and intelligence of these prehistoric animals, drives the plot of the film.","
            7/10
            "
"The_Void","24 October 2005","Like most kids back in 1993, I couldn't wait to see Jurassic Park. The fact that I was already interested in Dinosaurs made the film even more of a holy grail. Jurassic Park was the film that dreams were made of for yours truly, and despite my massively over-inflated expectations - the film really DID deliver. I saw it in cinema several times, and, at the time, couldn't ever see anything topping Jurassic Park. Of course, this was just the simple view of a child and, having seen many other films by now, as well as several subsequent viewings of this one; it's clear that this isn't the film that I once thought it was. But don't get me wrong - the fact that I now understand that films do indeed get better than this don't mean that Jurassic Park isn't a brilliantly well sculpted piece of entertainment. The plot is taken from the Michael Crichton book of the same title, and follows a new theme park, where the attractions are Dinosaurs. We follow a group made up of palaeontologists, other experts and the owner's children as they visit the park. Naturally, everything goes wrong and the lot of them are thrust into the world of the dinosaurs! Steven Spielberg can win a million Oscars for Schindler's List, but it doesn't change the fact that entertainment is his forte when it comes to film-making. The debate as to whether or not he's a great director can rage, but he definitely does know how to entertain if nothing else - and he shows that brilliantly with this film. The build up to the main action can be a little dull at times, but you're always on the edge of your seat due to the fact that you know it's not going to be all rosy. The film really comes together in the scene that sees the 'king' of the dinosaurs - the Tyrannosaurus Rex break free from it's cage. This scene is incredibly well directed - so much so that the rest of the movie never comes close to outdoing it. Spielberg tends to cast his movies with likable actors, and he's done that here. This does make the movie easy to like, but the resoundingly 'good' characters are often as flat as something that the T-Rex has stood on, and that doesn't do the movie any favours. I'm a big hater of CGI - except when it's done well, and I've got to say that it largely is here. Some scenes look very fake indeed, but the monster effects give it an old-school monster flick feel, and to be honest I'm glad that not all the dinosaurs look absolutely great. On the whole - this wont impress the people looking for great acting and the like; but Jurassic Park really is a first rate thriller, and if you like your films to be fun - you'll like Jurassic Park.","
            9/10
            "
"thinker1691","28 September 2013","From the creative and futurist mind of Michael Crichton comes this incredible and terrifying movie called "" Jurassic Park. "" Yet it took two exceptional directors, Steven Spielberg and George Lucus, to bring this imaginative story to life. The movie concerns an eccentric Billionaire named John Hammond, ( Richard Attenborough) who decides to buy an island off the coast of Costa Rico and build a huge enclosure for recreated Dinosaurs. When it's finished he invites the foremost authorities to endorse his park which include Dr. Alan Grant (Sam Neill), a Palo-botanist, Dr. Ellie Sattler (Laura Dern) and Dr. Ian Malcolm (Jeff Goldblum) a Chaos Theorist. The Zoo which Hammond creates for his attractions is a gigantic and impressive enclosure surrounded by electrified fences, automatic controls and computer protected alarms. So safe is the public that Hammond also invites his grand children. (Tim Murphy and Ariana Richards) However, no sooner does the grand opening tour begins, when things begin to malfunction. This sabotage is programed by one of the employees who is set to make a fortune by betraying his employer. The animals getting free is bad enough, but the terrifying ordeal has just begun, when the worst of the dinosaurs, the T-Rex is also set free. Horror gives way to terror when the children are preyed upon in the jungle tour, but they also have to race about in the open park, with all sorts of hungry creatures awaiting them. The movie is filled with frightening and terrifying scenes and only the screams of the audience is left within the walls of the theater. Samuel L. Jackson, BD Wong and Wayne Knight add credibility of this film which because of the Special Effects and enhanced modern CGI make's it a Classic for everyone. Easily recommend to all audiences. ****","
            10/10
            "
"mrbluto","30 December 2001","Jurassic park was not just first movie of the series but the best,the best action,the best story.Jurassic park has a sense of wonderment and excitement a lot of special effects movies dont have. Jurassic park takes the viewer on a roller coster ride and hardly ever lets you rest,the moments of humor add to the story. Welcome to Jurassic park.","
            10/10
            "
"PWNYCNY","13 November 2005","When I first watched this movie years ago, I didn't like it. I thought the movie was one big special-effects extravaganza with theatrical and uninspiring acting (except, of course, in the scene with the lawyer sitting on the toilet who's gobbled up by an out-of-control and hungry Tyrannosaurus Rex. I don't know if that scene was meant to be funny, but I recall that it provoked a certain amount of laughter.) Subsequently, I didn't give this movie a second thought. Then recently I happened to be watching television and lo-and-behold I switched to a channel that just happened to be showing Jurassic Park. So I watched the movie and this time I liked it. Indeed I thought this movie was great, and I'll tell you why. Despite the overblown special effects and contrived script and the almost laughable acting, especially by ""Newman"" from Jerry Seinfeld in one of the worst cases of miscasting in the history of movie making, this movie successfully and effectively deals with a serious theme - what happens when highly sensitive, highly experimental and potentially lethal scientific knowledge and technology gets into the hands of people who want to exploit this knowledge and technology for profit. This movie shows how the technology of cloning, when used irresponsibly and with little of any thought for possible consequences, can produce disastrous results, in this case, dinosaurs running amok with no way to control them. It seems far-fetched, but really no more so than the possibility of people being able to fly or communicate electronically over huge distances. It only seems far-fetched until it becomes a reality and then it's like it was always meant to be. But getting back to this movie, now that the dinosaurs are unleashed, the question is: how can they be controlled? They were supposed to be placed on display in a park, but it doesn't quite work out the way it was intended. Instead of the dinosaurs being confined, they literally go on a rampage, completely trash the park and in the process reveal a level of intelligence and cunning that is entirely unexpected, with dire consequences. The raptors, for instance, are not mere reptilian brutes but rather are cunning and highly intelligent creatures which makes them even more dangerous. And the humans who unleashed these creatures are simply no match for the ferociousness and strength of creatures that are now beyond all control. Compared to the dinosaurs the humans puny and helpless bystanders who are literally running for their lives when not caught and devoured. The humans' weapons are absolutely no match for the ferociousness of these creatures, who easily overpower and out-think the humans. The movie ends with the surviving humans getting out while they can, leaving the dinosaurs in charge of the park. Now, what happens if the dinosaurs escape from the park? Could the human species survive?In a way, this movie is akin to the stories ""Frankenstein"", ""The Invisible Man"" and ""Doctor Jekyll and Mr. Hyde"" which also deal with issues relating to consequences of irresponsible scientific research.","
            10/10
            "
"Matrixgirl04K10","1 October 2001","This has got to be the single most BRILLIANT movie of all time.  I am a long time dinofreak/Pro-Life person, so this is right up my alley.  I ADORE everything about it, and, even though a lot of people say this, I think even the scenes without dinosaurs are great.  They just add to the plot and the suspense.  I don't care what anyone has to say about this movie, because it is my favorite movie of all time, even better than my second favorite, ""The Matrix.""  Enjoy, fellow dino-lovers.","
            9/10
            "
"Jabberwock","2 June 1999","I really enjoyed this film.Steven Spielberg knows how to create an appropriate climax, combined with the new (at the time) image processing methods.Nevertheless, I was a little disappointed that Spielberg have evacuated the most part of scientific content in Michael Crichton's book, succumbing to one of Hollywood's fundamental diktats: ""Thou shalt not demand too much of the viewer's intelligence"".Actually the ending was eight years old kid stuff, spoiling the initial fear climax.In spite of all, I saw the movie twice in succession in the theater, and many times on VCR after.","
            10/10
            "
"tay-sedai","21 May 2013","Jurassic Park is another movie I first saw in high school - my entire year went on an excursion to Underwater World and finished the day off with a trip to the cinema. We were lucky enough to get to see this brilliant movie. My friends and I sat in the very front row (which, you know, sucked, but it didn't make the movie suck) and I remember being so excited to see this groundbreaking new movie with its purported amazing special effects.Well, watching the movie today in 2013, it still looks incredibly good - better than a lot of CGI crap I've seen in recent years. And the story is still compelling and fascinating, but then I guess we have Michael Crichton to thank for that. Thanks, Michael, may you R.I.P.!As a tiny aside, back in the day I thought Ariana Richards was THE coolness. It's a pity she never did much else, or really, anything else that I know of.","
            7/10
            "
"Petunia-2","18 October 1999","Visually breath-taking and action-packed, I still enjoy watching this movie today.  Needless to say, my 8-year-old daughter watches it weekly, reciting the lines verbatim.And the life the actors breathed into these lines!  Particularly Jeff Goldblum, whom I have adored since television's ""Tenspeed & Brownshoe""--his sarcasm jumps out of the screen, memorably, ""are they going to have THAT on the tour?""  to which Richard Attenborough mumbles under his breath, ""I really DO hate that man!""Is there anything Spielberg can't do?  (besides picking wives)","
            10/10
            "
"questl-18592","10 February 2020","You know, there's a lot that can and has been said about this movie. Easily in that upper echelon of blockbusters. More importantly though is the legacy. I don't mean sequels or spin-offs, merchandise or IP. Its legacy is in the way you can close your eyes and hear the music, you can remember the first time you saw the dinosaurs on the big screen and had that moment of awe, the look of Goldblum shirtless on a table, of Grant scaring the bejesus out of a kid, of Satler going shoulder deep in diino-dung, that first reverberating puddle, the terror when you heard the hiss and clack of raptors.Jurassic Park has ingrained itself in film DNA and there is no going back.","
            7/10
            "
"kosmasp","11 July 2015","So OK the song (by Shania Twain) came out 4 years after Jurassic Park was released, but I was aiming at what I felt back in the nineties when I watched the movie. I know that people are still (as they were back then) impressed by the visuals, which might have faded a bit since then, but still are decent. But the movie itself or the story it ""tries"" to tell is seriously flawed.But there is enough special effects moments and moments of suspense to cover anything up. Didn't work for me though, because I wanted and needed something more than just ""Dinosaurs for the first time feel like they could exist"" (read be in a movie and feel real). Again good job with that, but lacks in many other things (that's my humble opinion). So if you can't be swayed off your feet by the idea itself and start questioning the characters and their ability to think in general, you still might be swayed by some of the actors. The Fly himself (Goldblum) is a great comic relief, but is it enough? Agree to disagree then? Not a terrible movie then, but not the revelation (apart from the effects at the time), it appears to be","
            8/10
            "
"Kingslaay","5 September 2021","Jurassic Park was a groundbreaking film when it was released. The computer animated generations were new at the time and would have blown a lot of people's minds. I've watched this film 28 years after its release and the graphics feel dated but I think (similar to Star Wars) there had never been anything made like this before. I can appreciate how huge and monumental this film would have been. I think its value in its creativity was a huge part in garnering so much of its praise. I mean who doesn't love Dinosaurs?","
            10/10
            "
"saveliydalmatov","2 January 2024","A truly iconic Steven Spielberg film that launched one of the most famous franchises - Jurassic Park.A case where a movie about dinosaurs was made in a truly professional and interesting way.The composition by John Williams is a masterpiece that be etched into the memory of many people.The cast also did not disappoint, the character of the characters is spelled out, the atmosphere is built smartly, rain and mud are perfectly combined with the hefty lizards nearby.And what is very good is that even in these days of progress in special effects and graphics, the movie looks nice.Must-see, watch for everyone without exception!","
            10/10
            "
"Tyson14","6 June 2015","Most film fans will have one film that ignited their love of cinema. For many that movie experience will come at a young age and in a dark theatre where the large screen envelops you in a whole new world you never thought possible. For me, like many of my generation, that film was Jurassic Park. Of course I liked many movies before that point but it opened my eyes to the potential of the medium like no other film, before or since. Scorsese talks about the religious-like experience cinema can create in its audience and watching Spielberg's classic for the first time I can fully appreciate what he means. It instilled a sense of reverential awe in me and whilst I had witnessed fantastical places like Oz and Tatooine I had never truly been transported to a foreign world as I had with Jurassic Park.It's a hard film for me to talk about rationally. It holds such a special place in my heart that I will never be able to find fault with the film, so instead I'm just going to gush about the movie's many positive attributes. Attributes like the groundbreaking special effects. The film is always assured of its place as one of the great technical achievements in cinema. CGI had been used in films for many years before but never quite to the point that you believed wholeheartedly in the events and creatures on screen. It is remarkable to think how far computer graphics have come since 1993 yet the film still looks utterly convincing, even more so than both of its inferior sequels. I can only put this down to the seamless blending of effects from the use of CGI, model work and animatronics. The film constantly tricks the audience into believing the dinosaurs were real by having creatures the cast could directly interact with. Because CGI has become so advanced now filmmakers rarely rely on the other types of effects work yet without them Jurassic Park's major moments would never have worked as well. Just imagine the T-Rex scene with the children trapped in the car, it is frighteningly believable because the creature is really there. Much of the critical attention is given to the computer wizardry but for me Stan Winston and his team are just as crucial to the film's success.Whilst the story is little more than a reworking of Westworld it is still so taut and full of genuinely magical moments that any familiarity in its conceit is immaterial. I can think of no other film with quite so many memorable sequences. The movie is packed with them, big or small, from the reverberating cup of water to the first dinosaur reveal, it is a film that has created more indelible memories than most filmmakers achieve in their entire careers. The cast are, with the possible exception of Laura Dern, perfect for their respective roles. When you compare it to a lot of modern blockbusters the film is surprisingly small in scale. Sure, you've got giant prehistoric creatures stomping around but the film doesn't have a sprawling cast of characters and it has no end-of-the-world climax. Yet it is the narrow focus that makes it all the more effective. Each character is given time to develop and whilst they may fulfil defined roles in the story they do at least feel like real and believable people. Jurassic Park may be a theme park but the film is more than just a thrill ride as you feel emotionally invested in the characters and events on screen.I've waffled on and not even mentioned the brilliant score by John Williams (a score so amazing it still sounds fantastic when slowed down by 1000%) or the film's perfect balance between comedy and scares. The film is a masterclass in blockbuster filmmaking and a bona fide classic.","
            10/10
            "
"kittaylorpdx","7 September 2022","It's an incredible thing to realize that this movie wasn't even nominated for Best Picture or Director when it was released. The transfer from film to television over the last two decades has been drastic. Imagine if a movie this good was released in the theaters today. Best Picture guaranteed. This is a gem that still holds up 29 YEARS LATER. Amazing. I teared up, cheered, had moments of awe. And how is it that the CGI in this movie is still better than movies today??!! Flawless..........................................................................................................................................................................................................","
            8/10
            "
"DanTheHumanBeing","8 August 2018","A start of a wonderful franchise, the original Jurassic Park is pure amazing-ness, I've always loved dinosaurs growing up, and Jurassic Park was the first pg-13 movie I watched when I was 10, my grandma actually put it on cos she knew I liked dinosaurs, so its no wonder why I enjoy this movie and the franchise itself so much. Almost every scene in this movie is filled to the brim with cool dinosaur stuff. Also this movie features the absolutely amazing Jeff Goldblum, who in my opinion always makes every movie he's in 10 times better. Honestly anything Jurassic Park related will get an automatic excellent review from me. 10/10 every time.","
            10/10
            "
"tonypeacock-1","14 November 2019","I've not visited this film for nigh on twenty years (is it that long) and what I came across was a film that took me back to the day I watched it on the cinema screen.The story based on Michael Crichton's novel is directed by great film director Steven Spielberg. It has elements that have proven a success in his near twenty year career prior to this 1993 release.The film is a technological achievement showing dinosaurs brought back to life on an island theme park.The casting includes stalwart Richard Attenborough as the island theme park owner John Hammond, Sam Neill as paleontologist Dr. Grant, Laura Dern as his partner paleobotanist Dr. Ellie Sattler and mathematician Ian Malcolm (Jeff Goldblum).
The film was made so long ago now (1993) that Samuel L. Jackson has a mere supporting role!Of course the story is science fiction based on genetic engineering and it is the character of Malcolm that observes that ""life finds a way"" in response to the genetic engineers assurances that the dinosaurs are all female and so cannot breed!At the time the dinosaurs are brought to the screen via a mixture of CGI and animatronic by renowned Stan Winston.The CGI does show a little of its age now?Mixing elements of disaster films, Jaws, King Kong to name but a few I was left thoroughly enthralled at the films grandeur that is lost a little on a television screen.The film has the usual Steven Spielberg company including music by John Williams but it is the dinosaurs that are the main attraction.","
            10/10
            "
"spidenproductions","30 December 2021","This movie deserves it place in the top listed movies of all time.Well acted, well shot, well directed, great soundtrack.The pacing is perfect and will leave you wanting more!This movie has soul, which unfortunately is the key element lacking from recent new additions to the franchise.","
            9/10
            "
"RonellSowes","4 April 2023","Jurassic Park was Steven Spielberg's roughly fourth and perhaps final installment in the creation of the modern blockbuster and the death of cinema. The movie led to about a half dozen direct sequels but its effect is much broader than that, influencing almost countless films and filmmakers since.You can expect to find no shortage of tropes or weaknesses or major holes yet it still manages to gloss over them and hold it together with neat professionalism. Even when it's bad, it's not amateurish and it's always very Spielberg. In some cases that can be a bad thing but more often than not it's a benefit.","
            10/10
            "
"meydiana-65242","12 December 2020","If you were born in the 90s or before, you had a connection with people...you absolutely loved this movie, and it made a mark on you. I think most people remember when they saw this movie first, because it was that awe inspiring of an experience. I remember that it was the first pg-13 movie I was allowed to watch, and what a way to start my grown up movie experience!!! Everything in this movie screams adventure, from the opening scene where the jungle leaves rustle, the shot of mysterious sparkling amber, to the landing of the helicopter on a remote rainforest island, the movie sets the tone for the greatest adventure movie ever made. As you hear John Williams glorious theme start to swell, and you see Alan remove his glasses and start to tremble, you know you're about to witness one of the most magical moments ever put on cinema. I can't go into detail on all the incredible scenes, from the T-Rex reveal, to the kitchen scene, but each one of them revolutionized what we thought movie magic could take us. Thank you Spielberg for making this enchanting piece of art for us, an entire generation is indebted to you.","
            10/10
            "
"zwrite2","28 July 2008","The very concept of dinosaurs coming back to life is so fascinating that ""Jurassic Park"" had the potential to be one of the best movies ever. At minimum, it should have earned a 10 rating.Unfortunately, director Steven Spielberg and the writers did not spend enough time teaching us  perhaps, via the film's children  about dinosaurs. Instead, there are too many dumbing-down scenes with dinosaurs relentlessly hunting people and humans doing all sorts of incredible gymnastics to stay alive.On the plus side, the movie has several ""wow"" moments involving gentle dinosaurs. The special effects are tremendous. When the characters first saw dinosaurs on the island near Costa Rica, I felt as awestruck as they did. Later, we see a dinosaur born in a lab, Laura Dern's character helping a sick dinosaur, a dinosaur eating plants a few feet away from Sam Neill's character and the two children, and dozens of gazelle-like dinosaurs sprinting away from a massive meat-eating predator. These scenes were spectacular.There are also a couple of interesting scenes focusing on the mean carnivorous dinosaurs. But, the meat eaters just don't stop chasing the humans. The action goes on and on and on. The longer these scenes go on, the more ""Jurassic"" evolves from a fascinating science fiction story into a trite action-adventure.I'm for action-adventure, and liked that the plot included a greedy computer expert played by Newman of ""Seinfeld"" conspiring to steal dinosaur DNA. Newman's comeuppance was enjoyable, and ""Jurassic"" was better because his behavior caused the dinosaurs to escape from their habitats and go after innocent people.But, there were many times that I wanted the pace to slow down and listen to the dinosaur experts played by Dern and Neill discuss the various species of dinosaurs. I also wanted to see more scenes with different species interacting with each other, more everyday scenes of dinosaurs doing whatever dinosaurs do, and even more scenes of the people interacting with the gentle dinosaurs.Spielberg, I think, missed a wonderful opportunity to educate the public in an entertaining way. An excellent movie would have balanced education and entertainment, but ""Jurassic"" took a mid-story turn toward entertainment, and I wasn't particularly entertained.The dinosaurs the movie focused on were more like people obsessed with winning. As far as I know, animals chase their prey, succeed or fail, and then look for other prey. They don't fail, but then spend hours looking for the prey that escaped from them instead of looking for other prey. If dinosaurs are that smart, I would have liked to hear the dinosaur experts discuss what else they could do.Spielberg deserves credit for inserting personal touches in the middle of his action-adventure and developing the Neill character from a child-hater into a child-lover although his quick transformation was a bit implausible. I also liked the comic relief of Jeff Goldblum's character, but the writers needed to explain better why a statistical theorist/philosopher was in the movie in the first place.I also think that the Richard Attenborough character was too much like the Dr. Frankenstein character. Here, was a brilliant entrepreneur who spent years pursuing his dream of re-creating life. Then, as soon as his experiment goes awry, he  like Frankenstein  wants to abandon his dream. The ending would have been better if viewers were left thinking about whether dinosaurs coming back to life was a good or bad thing instead of watching a black-and-white anti-dinosaur position.I cast an 8 for ""Jurassic Park"" when I initially voted on it, but the more I think and write about it, the more I conclude it deserves a 7 instead because it really missed an opportunity to be great.ZWrite","
            9/10
            "
"SPZMaxinema","2 September 2021","While not Steven Spielberg's best film by any means in my opinion, the practical and special effects accompanied by the music, cast, and thrills make this an exciting film for dinosaur lovers! Even though I'm not necessarily into them too much, I'd say it's a classic worth checking out!","
            10/10
            "
"Ben_BeanBag","7 June 2022","Almost 30 years later this movie looks stunning and has become one of the most iconic films ever. A lot of my love for the film came from being a dinosaur kid, but it's still a great film. The characters are all so much fun (except Dennis, his character sucks) and all have such unique traits that all come back in some way. The music is stunning (but you already knew that) and so is the concept of a dinosaur theme park. If only I could truly visit this place. 9.9/10 a Spielberg masterpiece.","
            10/10
            "
"neibrad","2 December 2017","This must be one of the top 10 Popcorn movies, of which Spielberg must occupy several slots. Everything about it is polished and meticulously planned. OK, we have seen the CGI done to death these days, but forgetting that cliché, just sit back and enjoy the ride. There are some genuinely terrifying moments. The ripples in the glass of water. The kitchen scene which 30 years later still has me holding my breathe. The end scene with the raptors, beautifully captured so that the T Rex fills the whole screen. One of the last, if THE last, true horror films to grace the silver screen, which has the same effect watching it on TV. Get that bucket of popcorn. Turn the lights down and be prepared for a roller coaster ride of a movie.","
            9/10
            "
"JediMaster66","28 May 2019","This is a flawless masterpiece.
Great acting
Good plot
And everything else is great","
            10/10
            "
"poolandrews","22 July 2006","Jurassic Park is set on an island just off the coast of Costa Rica which rich billionaire businessman John Hammond (Richard Attenborough) rents from the Government, within it's lush green jungles Hammond has created a new type of tourist attraction. The whole island has been converted into a giant theme park called Jurassic Park, a theme park where the paying public can take a tour & see real life Dinosaurs including Triceraptops, herds of Galamides, a Brontosaurs, Velociraptors & even a T-Rex that have been brought back from extinction by means of using Dinosaur DNA from blood found in fossilised Mosquitos. However, in an accident a worker has been killed & Hammond's investors get nervous about the safety issues that surround Jurassic Park so in an attempt to reassure them Hammond invites esteemed palaeontologist's Dr. Alan Grant (Sam Neill) & Ellie Sattler (Laura Dern) along with scientist Dr. Ian Malcolm (Jeff Goldblum) & lawyer Donald Gennaro (Martin Ferrero) to tour the park & hopefully endorse it. Unfortunately things don't go the way Hammond was expecting as a ferocious thunder storm hits the island at the same time treacherous employee Dennis Nerdy (Wayne Knight) shuts down the security fences so he can make his escape after stealing Dinosaur embryos that he plans to sell to a rival company. With the security fences off line the Dinosaurs are free to go wherever they please & the human inhabitants on the island find themselves hunted by the Dinosaurs...Directed by Steven Spielberg Jurassic Park was a monster-sized (sorry) smash hit at the box-office when it came out & held the record until Titanic (1997) came along, it still makes for great viewing even after all these years. The script by Michael Crichton & David Keopp was based on the novel by Crichton of the same name, in fact Jurassic Park the film went into production before the novel even came out. The film is great basically, there are lots of spectacular big budget set pieces that look good even now, there's some stunning special effects that still hold up really well & the Dinosaur human interaction is as good as anything else put on film with the likes of a huge T-Rex chasing a jeep through the jungle looking impressive. The story is reasonably plausible & it doesn't get too bogged down in scientific jargon, the various story threads all come together pretty well although I'd liked to have seen a few more people get eaten. Alive if possible. Most of the character's are likable & even the teenage kids weren't that annoying apart from a scene when Lex (Ariana Richards) can't seem to do something as simple as turn a flashlight off yet later on in the film she manages to operate one of the most sophisticated computers on the planet & use it to reboot the entire theme park electrical system! There is one exception though, I have to say that Laura Dern's scientist irritated me beyond belief, I don't know if it was Dern or the character but I really wish she'd got eaten. Slowly. My only real complaint with Jurassic Park is the pace, once it gets going around the 50 minute mark it's top entertainment all the way to the finish line but until that point I found it rather slow going with lots of very deliberate 'explanations' & exposition scenes that feel forced, it's the sort of dialogue that you know the filmmakers stick in there on purpose to get the audience up to speed like all the talk about how deadly the Velociraptors are & how they hunt. I'm all for build up & character development but I personally don't like long films, I just don't as I begin to loose interest & become bored so I'd have preferred Jurassic Park to have been at least 15 or 20 minutes shorter. This is a small complaint & Jurassic Park is still a thrilling action packed family horror film & I don't care what anyone says it's definitely a horror film & if it had been made by anyone other than family friendly Spielberg that's how everyone would describe it.Director Spielberg films the special effect & action scenes with panache & there are some cool sequences like the T-Rex eating a Goat whole (excellent!, as Tim (Joseph Mazzello) exclaims), attacking the jeeps & the Velocirators at the climax hunting the kids in the kitchen. Everything looks, sounds & feels great with brilliant special effects & CGI. The film has some nice scary moments & a few instances of mild gore & violence so it may not be suitable for very young children.With a supposed budget of about $63,000,000 Jurassic Park is technically excellent & set the standard for just about every special effects film thereafter. Some of the Costa Rican locations look gorgeous although I believe most of it was shot in California. The acting was alright but the real stars here are the Dinosaurs so it doesn't matter that much. This was Richard Attenboroughs first film in 15 years, Samuel L. Jackson has a small role & he would obviously go on to mega stardom, Sam Neill is OK, as already mentioned I thought Dern was awful while Goldblum is as likable as ever & steals every scene he's in.Jurassic Park is a great film, it's as simple & straight forward as that. It has brilliant special effects, cool set pieces, great Dinosaur action & makes for terrific Saturday afternoon type entertainment. What more do you want? I would imagine there aren't to many people on planet Earth who hasn't seen it yet but if your one of the few then what are you waiting for? Two great sequels followed, The Lost World: Jurassic Park (1997) & Jurassic Park III (2001) while Jurassic Park IV (2008) is currently in pre-production according to the IMDb.","
            10/10
            "
"MartianOctocretr5","21 June 2006","Steven Spielberg's cinematic masterpiece, where ""two species, separated by 60 million years"" face off for a survival showdown. Dinosaurs return from primordial forests to reclaim their place as the dominant species on Earth, and the result is one great movie feast for the eyes.The premise is made plausible by an amusement park tour ride that explains the genetic process used in ""making a baby dinosaur"" (it makes you wonder if some day they will actually attempt this). Park controls over the dinosaurs go haywire, and nature's classic battle for survival is on.Several species of dinosaurs are, of course, the stars of the show. Unlike previous dinosaur movies, JP took the time to analyze their instinctual intents: survival, reproduction, hunting food, etc., rather than depict them as rampaging beasts that kill for no reason. The film even explored the intriguing possibility that certain dinos (raptors) had some measure of deductive reasoning powers.Almost every action and line of dialog has its place in relating the story and its moral. The movie knows when to go extreme with action, and when to pause and allow characters to evaluate the situation. The human actors, although somewhat regulated to supporting roles, are effective and have their importance too. The cautionary scientists, the greedy ""bloodsucking"" lawyer, the game hunter with a respect and awe for nature, the carnival showman, the techs who eat and smoke too much, even the imperiled kids (Spielberg's trademark) all represent aspects of science and the human condition. Characters are developed, some change, and some die; and in all cases, it fits the story's message.The production quality was superior: the use of computer technology was fresh then, and was used to emphasize the story rather than the habit nowadays to make the CGI itself the focus. The music score was inspired, capturing the majesty these immense creatures evoke. Clever humor bits are inserted at key points all throughout the movie, to balance with the gory scenes. The ""objects are closer than they appear"" sight gag is classic. A must-see for anyone. This is unique storytelling at its best.","
            10/10
            "
"Roger_Sterling","15 May 2006","What is it about Jurassic Park that makes me, and MANY others, love it? The special effects? The thrill? The fact that it's possible to watch this movie 800 times and it never gets old? I'd say all of the above, but also keep in mind: Humans NEVER saw dinosaurs, and along with fossils, this is about as close as we can get.This remains one of the most successful movies in WORLD-WIDE box office history, and it's not hard to see why. The acting is great, full of humor, the story is well-paced, and the Oscar-winning special effects and sound speak for themselves.1993 was clearly the year of Spielberg. He struck both box office and critical gold with Jurassic Park and Schindler's List. Both movies are amazing, and both won Oscars. However, the fact that only Schindler's List is on the IMDb top 250 boggles the mind. It deserves its spot on there, no doubt, but so does Jurassic Park.So this is, and will always be, on my top 10.","
            10/10
            "
"kennethtownsend-97230","13 October 2015","Jurassic Park (1993) Steven SpielbergMovie ""Jurassic Park"" is considered by many a classic. This move made us jump out of our seats because of the dinosaurs. It also made us awe at the stunning visual effects that were way ahead of the time. The plot is that John Hammond (Richard Attenborough) invites a group of people to his new island on Isla Neblar to see his new attraction with living dinosaurs. The problem is that these dinosaurs are unpredictable and eventually break out. Steven Spielberg has done a great job at directing this movie and has given us a good look into the past, but is this movie actually good. Take away the nostalgic affect and critically compare this movie and its effect to others at the time. This movie blew our mind. Now 1993 was a great year for movie culture. There were many movies that came out such as ""The Sandlot"", ""The Nightmare before Christmas"" and even ""Mrs. Doubtfire"". Obviously there was some competition in that year but ""Jurassic Park"" blew these movies out of the water delving stunning cgi/animatronics. Although there was a lot of things done right with this movie it is not perfect. First of all this movie is not scientifically accurate. The Velociraptors as shown in the movie have a distinct lack in feathers and are estimated to be only about half a meter tall (1.7 inches). This movie may be inaccurate in some parts but it still blew our minds. I was only about a few years old when I first saw the movie and the thought of dinosaurs chasing people around just blew my mind. This movie may not be what the past was exactly but it delivers a good representation of what would happen if we tried to tame these beasts.","
            8/10
            "
"rivertam26","5 March 2020","I still continue to be blown away by the sheer awesomeness of this movie. I remember being dropped off at the theater in the summer of 1993 with my little brother, not knowing what to expect. And basically nearly crapping my pants. I mean at 13 it scared the utter crap out of me. It was the first movie with digital surround sound and it was amazing. Steven Spielberg's popcorn masterpiece has a number of sequels at this point but nothing even comes close to the original. It's scary, funny, smart and action packed. It's nearly flawless in every way from the perfect performances pretty much all around except for some questionable moments from Dern. The movie's spectacular effects also hold up surprisingly well. It's still the best blending of practical and CGI to date. The characters are developed enough to care about and the movies pacing is perfect from the awe inspiring thrills of the first third to the primal terror in its final half. Truly one of the best and scariest movies ever made.5/5","
            8/10
            "
"LessThanPaddy","27 March 2017","Recently, a close friend of mine that I have known for almost fifteen years revealed to me that he had never seen this movie. Yes, the biggest sci-fi fan I have ever known had NOT seen Jurassic Park, perhaps the greatest sci-fi film of all time.I'm not much of a scientist, but I am aware that this production is riddled with scientific errors. And my response to that is quite simply, who cares? Like honestly, who cares? As a kid, this and 'Small Soldiers' were two films I watched over and over on repeat. Today, I don't know how well I could handle the latter, but I will never lose confidence in my love for Jurassic Park. In fact, I believe I have loved it more as the years have gone on and that there were things I appreciate about it now that I didn't pick up on as a kid (e.g. the moral debate about recreating dinosaurs etc).This film engages from start to finish, bringing in a great range of characters and creatures that all tie in to a well directed plot. Even now, the raptor-kitchen scene gets me as tense as it did the first time I watched it. I could watch the first T-Rex scene over and over too.My only regret is that I was born in 1992, meaning I was barely a year old when this film was released. Thus, I can never appreciate what it must have been like to go to Jurassic Park upon its original release which I'm sure must have been phenomenal for its day. In summary, I love this film and always will. Truthfully, I can't see a better dinosaur- related sci- fi film EVER emerging, ever.","
            10/10
            "
